it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Ahshislepelta_TS	Akainacephalus_TS	Ankylosaurus_TS	Anodontosaurus_TS	Cedarpelta_TS	Chuanqilong_TS	Crichtonsaurus_TS	Dyoplosaurus_TS	Euoplocephalus_TS	Gobisaurus_TS	Heishansaurus_TS	Jinyunpelta_TS	Liaoningosaurus_TS	Minmi_TS	Nodocephalosaurus_TS	Oohkotokia_TS	Palaeoscincus_TS	Pinacosaurus_TS	Platypelta_TS	Saichania_TS	Scolosaurus_TS	Shamosaurus_TS	Shanxia_TS	Talarurus_TS	Taohelong_TS	Tarchia_TS	Tianzhenosaurus_TS	Tsagantegia_TS	Zaraapelta_TS	Zhongyuanosaurus_TS	Ziapelta_TS	Zuul_TS	Ahshislepelta_TE	Akainacephalus_TE	Ankylosaurus_TE	Anodontosaurus_TE	Cedarpelta_TE	Chuanqilong_TE	Crichtonsaurus_TE	Dyoplosaurus_TE	Euoplocephalus_TE	Gobisaurus_TE	Heishansaurus_TE	Jinyunpelta_TE	Liaoningosaurus_TE	Minmi_TE	Nodocephalosaurus_TE	Oohkotokia_TE	Palaeoscincus_TE	Pinacosaurus_TE	Platypelta_TE	Saichania_TE	Scolosaurus_TE	Shamosaurus_TE	Shanxia_TE	Talarurus_TE	Taohelong_TE	Tarchia_TE	Tianzhenosaurus_TE	Tsagantegia_TE	Zaraapelta_TE	Zhongyuanosaurus_TE	Ziapelta_TE	Zuul_TE
0	-553.6633132361056	-17.91071217553543	-331.68242365551936	-204.07017740505086	0.30588713352691604	0.30588713352691604	0.30588713352691604	0.30588713352691604	0.30588713352691604	0.30588713352691604	0.30588713352691604	0.30588713352691604	0.30588713352691604	0.30588713352691604	1.0	1	1	1	133.31951895168353	61.31484495877379	284.4806358544506	80.46976032576258	76.3940384433246	81.41792591833234	85.0591667858529	123.47875449149475	125.37533646202631	107.67570637204886	76.79835858679105	83.99365294580619	90.19038389263193	122.16978772586268	99.72844264198726	127.30597503082859	133.31951895168353	85.41642574919868	84.01394370614761	75.57314491221611	113.99116302064112	85.44598475960572	75.99422446711588	86.29056398461054	121.8671818742326	76.0995752433209	93.86333340994494	102.43815422123781	80.54324702991954	76.63591953340024	92.36826997983493	99.17351470121515	115.45143667873434	76.88219725761067	76.2303521944287	80.14868784315378	76.09702364856	65.9117882400759	66.83151521148424	96.2210653300889	125.23016164525177	82.03390610972703	76.7628698769384	66.16989942339835	90.12869637323786	122.12439838911108	99.6449663034308	127.17165540877134	105.21386131981532	72.34169156653078	71.01550022267297	75.3056971289807	61.31484495877379	72.43653411497567	74.68707153115373	71.02015351743808	107.88619197721506	75.7435245958134	89.55231546395792	101.88480313702168	66.22186363244583	76.52273857272061	84.6596311769386	98.96007497649016	115.18412156218072	76.60890249678495	76.1386496882591
5000	-581.6821612993074	-18.548068439853786	-354.572886936456	-208.56120592299766	0.8638416306129547	0.7431887046841547	0.29873757850565086	0.2419859990815487	0.22757089784618292	0.14739766292034318	0.23152733853242308	0.3603259450211455	0.4975817468431199	0.8388562519943681	2.613951523243789	1	1	0.695350429031816	131.99879673542745	65.76533000278005	300.5553379836593	80.47671679795393	77.116424233939	79.78417622446946	84.70013201918964	123.66972143704852	126.11774633898268	109.58299173982923	76.85082327747942	83.87946479006287	93.69536450731403	123.21843677166068	101.44103477699882	129.93490881157774	131.99879673542745	81.88533676226679	82.71450933865168	75.36187477038798	112.94098133325465	84.34473431451075	76.88367491580867	85.32421111305446	120.49226013386591	76.612944913299	94.32619685483996	102.3332181977784	80.8629136979868	80.2590601227101	94.23493300518386	99.98397902641649	115.32037352407647	77.97399514226494	79.83881591690441	80.22445280715588	73.28838881042333	65.76533000278005	66.56490828222339	89.98637454546153	125.36017840373981	85.04825871590741	76.7192264272796	66.21848884640109	88.98418573579056	121.12312125383019	98.46691477911214	123.59424964865575	113.93902928262236	71.88484800222412	73.06945456836338	74.23765501118672	70.22899964929744	68.84309723487725	74.03136325175717	70.4244254728696	108.83856985634013	76.06239014243835	90.27397739832776	102.29025938542387	67.83419860215336	70.96827684939586	87.02510717992486	98.91892854422906	114.63122925029302	76.22953994010699	72.52998568094348
10000	-573.8077522623257	-29.706505905136282	-343.64234325679456	-200.45890310039488	0.7065274744749734	0.5306895994971013	0.21418563838561225	0.11319650017879367	0.11867642567108673	0.20756257947455306	0.4179906361469623	0.20616445840111766	0.5197999421351903	1.4691565139815748	18.09599347970734	1	3	2.3436378477337794	131.9613741116062	65.89558432927339	278.076515715875	81.10900713869248	76.80011415891079	79.8673464767973	83.36585690470552	123.12871329499033	125.74256229317929	103.85075308415743	77.37545491452798	83.61680163109742	91.2499411375243	122.16302507137168	101.02842522858352	127.27545404517286	131.9613741116062	86.24994003534987	82.83463447173486	75.55847728921098	111.88685797240963	86.75323249469794	77.84337727728388	81.93989374483118	122.14349548918273	77.84752841092701	93.9028740265925	102.83594677999068	81.96262059570779	76.87256512378092	92.16031167834637	99.82753189330015	116.27781043173991	77.53621069551771	76.2551912838026	79.92573292147057	75.5960579257516	65.89735299518448	66.84881121611366	94.5980222208645	124.37691212027819	86.69272959446292	75.50472510625762	65.89558432927339	89.63722987372186	117.71290084671122	99.41476363745667	127.07653329945461	109.73657167631683	71.53268216711018	71.78945471190391	74.93540890512057	69.23428186086844	72.59847078077516	73.64094064303788	71.41199313259806	111.05443844579244	75.78702094589487	89.22536812053194	101.51031572164084	68.13453765286992	75.47277309902314	87.32988017147929	96.93405597706618	112.98403029267294	72.89065951223931	75.76657356590562
15000	-576.9328670709235	-19.629472887173222	-351.7540971263947	-205.54929705735566	1.5640188927620822	0.7058397619781455	0.20216127968739234	0.07215928583529019	0.3772368112821287	0.29829421300084735	0.32095628196117404	0.27438715470669783	0.5259954362639339	0.8857023177101283	19.61910711041408	1	1	0.4473939338983675	133.01181001455117	65.80524587029115	286.1524813502556	80.63251065998325	76.74084275008458	80.71463649562504	83.47380962775043	122.25387881520733	125.4352089595853	101.51313074130167	78.44267609422096	88.64176268743206	92.32846174884111	122.16104598801782	101.89484663072925	127.66157965456766	133.01181001455117	88.23124280841706	82.9314324244242	78.57973007845682	112.49048280261495	84.3770826767443	78.71597319288254	82.23157004743997	122.74168428137088	76.20030581077675	94.1720346441179	109.46874020129009	82.14527433573983	77.12545548143976	91.90484458913902	99.77745736060214	115.94045314604789	77.04442498902311	76.69507845755632	79.0554375345265	74.02837247963997	65.80524587029115	66.9484509960364	97.0840481928292	125.24472075832232	89.28108092467443	76.70759346711702	66.0681099158846	88.809582686303	119.95837576904333	99.36009366194351	126.96983141765521	112.94307331318804	72.1721604556323	69.46461765841791	74.52838447089371	70.03168902383138	72.52759599667284	74.61119914546896	71.5111006330788	109.86475083073049	76.08383687244552	89.0503870534267	101.80065566308654	68.31335911488262	75.61759008589863	79.9331589887814	98.70126458840778	114.5084632879591	76.47046874204024	76.07228724661599
20000	-570.040571750528	-19.87651325026563	-348.3539033327009	-201.8101551675615	1.7310093409290261	0.44048057797593465	0.11945072269750644	0.06052615618775593	0.13398427336537813	0.5197415166814927	0.32134954685119693	0.39300837323302573	0.5370089182233345	0.9679521372466916	12.577372920523871	1	1	0.5904352096390897	130.28240098971247	61.16221009155551	272.9000195173586	83.34676239961779	78.02797725784225	81.34268263313994	83.54827225359867	122.02531630394559	126.34466130136408	96.33214840575127	76.94420692968819	86.55303744207588	97.3163143534291	122.41071440797414	100.6875053024772	128.0460627141077	130.28240098971247	84.66196057087184	82.99892428663723	76.57132331472371	111.52274018199454	85.24974086055414	76.50024534163921	82.24642678218387	120.41419062046303	76.85586672178064	93.97795072700912	103.50082621791469	80.8870918172938	79.82723248292886	91.66025102127665	99.48723662268416	115.90628341369701	77.54808523884543	76.40761588341974	80.1719139336728	75.62786042694553	65.36466893285967	61.16221009155551	101.14529350788305	123.45672119082016	89.5772422351823	76.74691893810093	66.40785575575084	87.92682373489107	121.6917464957597	99.70148758993842	127.20990383659877	111.39007420370386	70.61567945051065	70.77880730480027	75.23402912579145	70.21784801657392	70.34481162939949	73.41150657659067	71.16087159406544	108.2708278997905	75.4643399329077	89.46106516882332	101.76445683520168	68.00787413434877	75.6719715583239	82.43001022541603	98.88410024243046	114.94457964943453	76.09467422266172	76.19386084255025
25000	-575.5239792418396	-29.441761737371568	-348.83664695101737	-197.2455705534506	1.5655924728599053	0.6455543822544013	0.08697707866480178	0.10979844794177192	0.07567297288671744	0.24751237968661666	0.20484505092334873	0.392149787612407	0.5262348589912593	1.0792411157828312	9.396872384888983	2	2	2.5324304768585355	130.3459931853862	65.18791746611922	275.66848798612256	81.04730799762514	81.57031847543892	81.99314691896674	84.30065482513379	124.54788667160885	125.70154143938579	96.47393093373847	77.55205740264071	87.10446873846966	93.3850878555864	122.71648256085928	100.39574862056907	127.8043294531789	130.3459931853862	82.39032322799837	82.61341988602629	75.54672244405934	111.00110207370206	84.99601883056552	77.80757160800992	83.05085591800527	121.90212276297507	76.09389529216615	94.22209117789723	103.4647742440732	82.10926573721625	76.90947837445846	93.25013458321726	100.3390012654121	116.15671533786872	76.99096034903039	76.27705320938047	77.05497848799303	74.14709253401237	65.76542398096578	67.04099339820502	102.56847361329856	125.24985523210985	82.34835127393883	74.44016732754054	65.18791746611922	89.6926028590017	120.85267023978332	98.73260542349193	126.87000416372733	113.19200983882047	72.90673354880558	70.8283886059954	75.08241953138915	68.28708990757667	71.62750610166712	72.01173553716934	71.21175981984675	110.3486005321959	70.57612584720144	89.92705156047668	100.48507739170802	68.45480140634739	76.35247787970083	87.52614767845247	97.69329445783865	115.16240678087014	76.61235987477079	76.15485111350714
30000	-546.986477398815	-20.400829131020245	-328.03868296271173	-198.54696530508306	1.1789059825787835	0.4502549551929924	0.1092330296955398	0.13699315274021157	0.12943384893361934	0.4829725301027112	0.462636039710034	0.3096373116671379	0.5059382843140793	1.3921213884722705	19.65892980708679	1	1	2.4795496157267274	131.1956489911283	66.27147867971148	254.54919263179255	81.43689301945942	76.49611882044488	80.16399097585564	83.7422976909665	124.22655957837222	125.79668566631537	96.53751243236475	76.92107572105249	83.42872191463759	90.63580930147887	124.59084509271517	100.64835781537502	128.08636500694274	131.1956489911283	82.57590793697521	83.2861296340493	77.24540968064713	111.13692528398718	85.5443379119079	76.35365160021325	82.40972256395382	126.24446246680584	78.06201000805687	94.65370706012503	104.25390342166986	80.10108829886963	77.73050351473186	93.09394760142706	99.21150513629557	115.66247107443867	76.65474069268318	76.77791559288885	78.67048883585827	76.18641181848567	66.28510798897533	66.36262432974647	106.32067782048264	123.46484530273975	88.28849767093536	76.73225829228977	66.27147867971148	90.04423500355018	119.87573677663245	99.56034648397434	125.33120061930983	113.3170982337012	72.57157030225979	72.14184021485964	75.32875401559134	70.21379794201269	72.07235794229852	74.64533052160814	71.32304966814303	105.6263324603508	75.40158542491255	90.36218328201048	99.3728147375237	67.27028233910713	76.23875398030324	87.02175449581522	97.98980744587931	113.44788846166146	76.65357469886482	75.96334308544806
35000	-560.4453856483402	-20.5019228432976	-339.1108287512976	-200.83263405374498	2.5967521704865946	0.7498423044367096	0.10188716555079867	0.23971006242049034	0.2426662279572308	0.3165474130454829	0.27617380984272794	0.4680906507588609	0.5641878283567462	1.4362459556671263	13.829251175954584	1	1	1.3770577873316046	131.01864291113003	65.17581958138742	264.1693229900937	80.30613231789359	76.83568948511481	80.22669392688368	83.61359979225449	121.50813390108365	126.6535302862021	96.71382350487882	77.63336404169843	83.71257451322421	91.00768062591824	122.21481802597799	101.19937975287131	127.2715567090854	131.01864291113003	84.81096276716939	83.23637771595315	75.36982626459302	114.24934753197273	84.70140854164961	76.54113014608996	82.00808167367478	124.37139595156299	76.0956173664077	94.82714609155762	104.4274073866224	82.08563469056793	77.06053762712548	96.47318490479381	99.1597150781009	115.25871109192899	77.18396198862642	77.73645259102378	79.78386645584065	75.32473667626715	65.48562357208573	65.17581958138742	104.34296366330243	122.16928968662377	85.60057627829472	73.67574416533941	66.17786665365823	90.10743765811736	122.03093658046144	99.10482710149344	126.72774830073648	112.32353726494071	72.34491860405998	69.13639025555696	75.34631651736969	69.89523655122146	71.93355276858111	74.42786612485985	70.79331665598708	111.0185238765309	76.00238071261829	89.95951339190349	101.9806020456646	67.7142605951332	74.99216796295363	84.27084911851239	99.00197265792377	114.46955351176098	74.31740929402419	75.7073919303332
40000	-575.3334788195235	-29.59653933707584	-345.5121665083534	-200.22477297409432	2.018961719655366	1.278081532785174	0.11068600450867676	0.2605862299729906	0.16170620529944166	0.5940863917566986	0.41174354942873914	0.9154686146190317	0.5451599830627584	1.2457996836536167	13.382583234489566	2	2	2.664326897893484	130.68969105656018	66.15364881209068	265.9110835911999	80.42303385347172	76.8730868614606	81.25916417605464	85.01890531205143	121.76634634799599	125.82259032734237	96.56312644345076	76.77625404007533	84.46630416956882	90.27383460877537	122.74018691580108	101.8478408326705	128.31808155598952	130.68969105656018	83.90432985513908	83.11255959688744	76.96487163832596	115.61947886063477	88.1278409182404	76.16483102510418	81.77255097037246	122.32552778334752	76.29248553068274	94.8157023181723	103.06847989570974	82.57997354171142	76.69103714252373	92.29429866533864	100.45701005230586	117.22742449883948	77.47008849485296	77.87866462902944	80.21019876456027	72.9797622921609	66.15364881209068	66.90099774109409	104.5513968405292	125.3142102854654	86.58571859756708	74.9127589991236	66.37917361460963	90.0117595054488	121.66034017538382	98.37761263377128	126.91353715474429	113.99600208283168	72.58916493391749	71.66271792603564	73.49269259638643	69.75776147132886	72.259158192113	74.07501220288151	71.58465773286993	111.49779258384389	76.02276041621667	85.15040185073578	98.65397515716319	68.14128847410085	76.62609922301063	86.94147279124958	95.88303630035085	113.5790019524461	76.45499223631109	74.37541478694438
45000	-568.7718341012924	-19.369290663411448	-347.5816828264844	-201.82086061139654	1.100042978972834	0.5567168592729583	0.12315670053729724	0.05481275175713902	0.28133874827024785	0.18907347513714787	0.2352103009626128	0.6103825619649866	0.5593447437574274	0.9681344505770659	11.832606808159222	1	1	0.688695137395197	130.665142811035	64.74243271582033	275.10893807852324	80.29126009519405	76.30360031731144	80.70289795647031	83.88016380708359	123.57613756760054	126.9655085651229	98.64819473440598	77.22638018231396	85.31382030084632	90.87646382426351	122.52556298051107	103.8951572334939	128.71194325419285	130.665142811035	83.26402087527927	84.64727435732328	75.44766226274746	117.67377574472268	84.25246729534865	76.2573544455241	82.03876351141709	121.75895959589258	76.29407960570622	96.02711267168209	102.35528927727927	82.18936100017508	76.75752710611222	92.47296703407467	100.17920198426937	117.6302446077719	76.6672839932406	76.61419014331958	80.2604147260776	73.0619899641112	65.4777963873034	64.74243271582033	104.83715529970635	124.9058161479909	89.01962147740267	74.54924122456522	64.77070289500071	88.68223004079769	121.95707966350523	99.22278880571955	125.7056865323835	113.81643750875939	72.92562550638634	67.46754641079252	75.13625292906399	69.95843167005731	72.77841458781795	74.00509236503238	69.85996475304982	111.38887445918225	75.65265280377476	87.20722755824758	95.61437533515733	68.1658527849713	75.21391784486671	86.83042622696217	98.38999469239555	114.7659662296175	74.50672440497407	76.12409711171497
