occurrence.genus_name	status	ma_max	ma_min
Pentaceratops	extinct	71.8	71.6
Pentaceratops	extinct	84.9	66.043
Pentaceratops	extinct	70.6	66.043
Pentaceratops	extinct	71.8	71.6
Pentaceratops	extinct	70.6	66.043
Pentaceratops	extinct	71.8	71.6
Pentaceratops	extinct	71.8	71.6
Pentaceratops	extinct	71.8	71.6
Pentaceratops	extinct	84.9	66.043
Pentaceratops	extinct	84.9	70.6
Polyonax	extinct	70.6	66.043
Regaliceratops	extinct	70.6	66.043
Rubeosaurus	extinct	73.9	72.5
Rubeosaurus	extinct	84.9	70.6
Sinoceratops	extinct	84.9	70.6
Spiclypeus	extinct	84.9	70.6
Spinops	extinct	84.9	70.6
Styracosaurus	extinct	84.9	70.6
Styracosaurus	extinct	84.9	70.6
Styracosaurus	extinct	84.9	70.6
Styracosaurus	extinct	84.9	70.6
Styracosaurus	extinct	84.9	70.6
Styracosaurus	extinct	84.9	70.6
Styracosaurus	extinct	84.9	70.6
Styracosaurus	extinct	84.9	70.6
Styracosaurus	extinct	84.9	70.6
Styracosaurus	extinct	84.9	70.6
Tatankaceratops	extinct	70.6	66.043
Titanoceratops	extinct	84.9	70.6
Torosaurus	extinct	66.5	66.3
Torosaurus	extinct	66.5	66.3
Torosaurus	extinct	66.5	66.3
Torosaurus	extinct	66.5	66.3
Torosaurus	extinct	66.5	66.3
Torosaurus	extinct	70.6	66.043
Torosaurus	extinct	70.6	66.043
Torosaurus	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	84.9	70.6
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	66.5	66.3
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	68.6	68.4
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	69.4	69.2
Triceratops	extinct	67.3	67.1
Triceratops	extinct	68.1	67.9
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.2	69.6
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
Triceratops	extinct	70.6	66.043
