collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	collection.reference_no	country	state	period	epoch	stage	ma_max	ma_min	formation
45879	ETE	"M. Carrano"		Ankylosaurus		magniventris					"AMNH 5895"	11822	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
46152	ETE	"M. Carrano"	"n. gen."	Pinacosaurus	"n. sp."	grangeri					"AMNH 6523"	14566	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
46332	ETE	"M. Carrano"	"n. gen."	Dyoplosaurus	"n. sp."	acutosquameus					"ROM 784"	12348	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
48618	ETE	"M. Carrano"		Euoplocephalus		tutus		Euoplocephalus		sp.	"NMC 210"	17480	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
50727	ETE	"M. Carrano"	"n. gen."	Heishansaurus	"n. sp."	pachycephalus						69375	China	Gansu	Cretaceous	"Early/Lower Cretaceous"		130.000	112.600	
51907	ETE	"M. Carrano"	"n. gen."	Shanxia	"n. sp."	tianzhenensis					"IVPP V11276"	13826	China	Shanxi	Cretaceous	"Late/Upper Cretaceous"		99.700	66.043	Huiquanpu
51966	ETE	"M. Carrano"		Anodontosaurus		lambei		Ankylosaurus		sp.	"NMC 8530"	58800	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
51975	ETE	"M. Carrano"		Talarurus		plicatospineus					"PIN 557"	13890	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		99.700	84.900	Baynshire
52476	ETE	"M. Carrano"	"n. gen."	Platypelta	"n. sp."	coombsi		Euoplocephalus		sp.	"AMNH 5337"	10410	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
52477	ETE	"M. Carrano"		Palaeoscincus	"n. sp."	asper					"NMC 1349"	25127	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
