collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
14505	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	67.3	67.1	Lance
14507	Fossilworks	"J. Alroy"		Richardoestesia	cf.	gilmorei					"NMC 343"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14508	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14514	Fossilworks	"J. Alroy"		Dromaeosaurus		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14515	Fossilworks	"J. Alroy"		Richardoestesia	cf.	gilmorei					"NMC 343"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
14519	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14521	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14525	Fossilworks	"J. Alroy"		Richardoestesia	cf.	isosceles					"LSUMGS 489:6238"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14535	Fossilworks	"J. Alroy"	cf.	Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14536	Fossilworks	"J. Alroy"		Richardoestesia	cf.	gilmorei					"NMC 343"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14537	Fossilworks	"J. Alroy"	cf.	Dromaeosaurus		sp.						"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14540	Fossilworks	"J. Alroy"		Saurornitholestes		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
