collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
37184	Fossilworks	"J. Alroy"	cf.	Velociraptor		sp.						Mongolia	"Omnogov Aimak"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
38134	PaleoDB	"M. Carrano"		Richardoestesia	informal	"sp. 2"						"Russian Federation"	Amur	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Udurchukan
38134	PaleoDB	"M. Carrano"	cf.	Dromaeosaurus		sp.		Dromaeosauridae		indet.		"Russian Federation"	Amur	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Udurchukan
38134	PaleoDB	"M. Carrano"	cf.	Saurornitholestes		sp.						"Russian Federation"	Amur	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Udurchukan
38134	PaleoDB	"M. Carrano"		Richardoestesia	informal	"sp. 1"						"Russian Federation"	Amur	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Udurchukan
38677	PaleoDB	"M. Carrano"	cf.	Richardoestesia		sp.						Spain	Cataluña	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Arén
45090	ETE	"M. Carrano"	"n. gen."	Tsaagan	"n. sp."	mangas					"IGM 100/1015"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
45098	PaleoDB	"M. Carrano"		Saurornitholestes		sp.						"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	66.7	"Hell Creek"
45098	PaleoDB	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	66.7	"Hell Creek"
45099	PaleoDB	"M. Carrano"		Saurornitholestes		sp.						"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
45099	PaleoDB	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
45102	ETE	"M. Carrano"		Saurornitholestes		sp.						"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
45102	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
45109	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.5	66.3	"Hell Creek"
45110	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.5	66.3	"Hell Creek"
45111	ETE	"M. Carrano"		Saurornitholestes		sp.						"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.3	"Hell Creek"
45111	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.3	"Hell Creek"
45112	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	66.3	"Hell Creek"
45113	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.3	"Hell Creek"
45114	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.3	"Hell Creek"
45118	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.3	"Hell Creek"
45118	ETE	"M. Carrano"		Saurornitholestes		sp.						"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.3	"Hell Creek"
45120	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	66.3	"Hell Creek"
45122	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
45128	ETE	"M. Carrano"		Saurornitholestes		sp.						"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
45130	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
45136	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
45144	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
45145	ETE	"M. Carrano"		Saurornitholestes		sp.						"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
45238	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45238	Fossilworks	"J. Alroy"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45240	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
45240	Fossilworks	"J. Alroy"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
45240	Fossilworks	"J. Alroy"		Dromaeosaurus		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
45260	Fossilworks	"J. Alroy"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45260	Fossilworks	"J. Alroy"		Dromaeosaurus		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45260	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45261	Fossilworks	"J. Alroy"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45261	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45262	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45264	Fossilworks	"J. Alroy"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45264	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45264	Fossilworks	"J. Alroy"		Dromaeosaurus		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45299	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.3	"Hell Creek"
45390	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	66.7	"Hell Creek"
45391	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	66.7	"Hell Creek"
45437	ETE	"M. Carrano"	?	Richardoestesia		sp.	cf.	Dromaeosauridae	informal	"indet. 4"		Spain	Aragón	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Conques
45437	ETE	"M. Carrano"	?	Richardoestesia		sp.	cf.	Dromaeosauridae	informal	"indet. 7"		Spain	Aragón	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Conques
45560	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Foremost
45561	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Foremost
45561	ETE	"M. Carrano"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Foremost
45564	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	81.1	Foremost
45564	ETE	"M. Carrano"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	81.1	Foremost
45565	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45565	ETE	"M. Carrano"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45566	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45566	ETE	"M. Carrano"		Richardoestesia		isosceles		Aves		indet.	"LSUMGS 489:6238"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45566	ETE	"M. Carrano"		Richardoestesia	cf.	gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45567	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.8	78.6	Oldman
45670	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45671	ETE	"M. Carrano"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.1	76.2	Oldman
45671	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.1	76.2	Oldman
45674	ETE	"M. Carrano"		Dromaeosaurus		albertensis					"AMNH 5356"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.8	78.6	Oldman
45674	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.8	78.6	Oldman
45674	ETE	"M. Carrano"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.8	78.6	Oldman
45684	ETE	"M. Carrano"	"n. gen."	Richardoestesia	"n. sp."	gilmorei		Chirostenotes		pergracilis	"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	"Dinosaur Park"
45819	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.8	78.6	Oldman
45819	ETE	"M. Carrano"		Richardoestesia	cf.	gilmorei		Richardoestesia		gilmorei	"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.8	78.6	Oldman
45819	ETE	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.8	78.6	Oldman
45820	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45821	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45821	ETE	"M. Carrano"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45822	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.1	76.2	Oldman
45892	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45892	ETE	"M. Carrano"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45893	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45894	ETE	"M. Carrano"		Dromaeosaurus		albertensis					"AMNH 5356"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	Oldman
45894	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	Oldman
45894	ETE	"M. Carrano"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	Oldman
45897	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.8	78.6	Oldman
45897	ETE	"M. Carrano"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.8	78.6	Oldman
45898	ETE	"M. Carrano"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	Oldman
45898	ETE	"M. Carrano"		Dromaeosaurus		albertensis					"AMNH 5356"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	Oldman
45898	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	Oldman
45899	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.8	78.6	Oldman
46152	ETE	"M. Carrano"	"n. gen."	Velociraptor	"n. sp."	mongoliensis	"n. gen."	Ovoraptor	"n. sp."	djadochtari	"AMNH 6515"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
46953	PaleoDB	"M. Carrano"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
46958	ETE	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
46959	ETE	"M. Carrano"		Itemirus		medullaris					"PIN 327/699"	Uzbekistan	Navoi	Cretaceous	"Late/Upper Cretaceous"	Turonian	94.300	89.300	Bissekty
47189	PaleoDB	"J. Head"		Saurornitholestes	"n. sp."	sullivani		Saurornitholestes		langstoni	"SMP VP-1270"	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Kirtland
47346	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
47784	PaleoDB	"R. Whatley"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
47784	PaleoDB	"R. Whatley"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
47791	PaleoDB	"R. Whatley"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
47793	PaleoDB	"R. Whatley"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
47794	PaleoDB	"R. Whatley"		Dromaeosaurus		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
47794	PaleoDB	"R. Whatley"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
47794	PaleoDB	"R. Whatley"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
47795	PaleoDB	"R. Whatley"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
47795	PaleoDB	"R. Whatley"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
47795	PaleoDB	"R. Whatley"		Dromaeosaurus		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
47807	PaleoDB	"R. Whatley"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
47809	PaleoDB	"R. Whatley"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
47809	PaleoDB	"R. Whatley"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
47811	PaleoDB	"R. Whatley"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
47811	PaleoDB	"R. Whatley"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
47812	PaleoDB	"R. Whatley"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
47812	PaleoDB	"R. Whatley"		Dromaeosaurus		albertensis		Dromaeosaurus		sp.	"AMNH 5356"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
47814	PaleoDB	"R. Whatley"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
47814	PaleoDB	"R. Whatley"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
47816	PaleoDB	"R. Whatley"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
47816	PaleoDB	"R. Whatley"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
47816	PaleoDB	"R. Whatley"		Dromaeosaurus		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
48174	ETE	"M. Carrano"	"n. gen."	Neuquenraptor	"n. sp."	argentinus		Maniraptora		indet.	"MCF-PVPH 77"	Argentina	Neuquén	Cretaceous	"Late/Upper Cretaceous"		94.300	85.800	Portezuelo
48686	ETE	"M. Carrano"		Hesperonychus		elizabethae					"UALVP 48778"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
48849	ETE	"M. Carrano"	"n. gen."	Pyroraptor	"n. sp."	olympius					"MNHN BO001"	France	"Provence-Alpes-Côte d'Azur"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	
48850	ETE	"M. Carrano"	cf.	Variraptor		mechinorum		Theropoda		indet.	"MÃ©chin Collection"	France	Languedoc-Roussillon	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Marnes Rouges Inférieures"
48864	ETE	"M. Carrano"	cf.	Saurornitholestes		sp.						France	"Provence-Alpes-Côte d'Azur"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	
49415	ETE	"M. Carrano"		Unenlagia	"n. sp."	paynemili		Unenlagia		sp.	MUCPv-349	Argentina	Neuquén	Cretaceous	"Late/Upper Cretaceous"		94.300	85.800	Portezuelo
49557	ETE	"M. Carrano"	"n. gen."	Austroraptor	"n. sp."	cabazai		Deinonychosauria		indet.	MML-195	Argentina	"Río Negro"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Allen
50352	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Wyoming	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	Cloverly
50355	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Wyoming	Cretaceous	"Early/Lower Cretaceous"		100.6	99.7	Cloverly
50475	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	112.600	99.700	Cloverly
50483	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
50484	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	112.600	99.700	Cloverly
50486	ETE	"M. Carrano"	?	Deinonychus		sp.						"United States"	Wyoming	Cretaceous	"Early/Lower Cretaceous"	Albian	102.3	101.4	Cloverly
50488	ETE	"M. Carrano"	?	Deinonychus		sp.						"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
50491	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
50496	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Wyoming	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
50498	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Wyoming	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
50525	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
50531	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
50539	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
50540	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
50686	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"		100.6	99.7	Cloverly
50688	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	Cloverly
50697	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
50699	ETE	"M. Carrano"		Deinonychus		sp.						"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	112.600	99.700	Cloverly
50706	ETE	"M. Carrano"	?	Deinonychus		sp.						"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
50707	ETE	"M. Carrano"	"n. gen."	Deinonychus	"n. sp."	antirrhopus		Theropoda		indet.	"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Albian	100.6	99.7	Cloverly
50729	PaleoDB	"M. Carrano"	cf.	Velociraptor		mongoliensis	cf.	Velociraptor		mongoliense	"AMNH 6515"	China	"Nei Mongol"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Minhe
51033	ETE	"M. Carrano"		Velociraptor		mongoliensis					"AMNH 6515"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
51033	ETE	"M. Carrano"	"n. gen."	Mahakala	"n. sp."	omnogovae					"IGM 100/1033"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
51682	ETE	"M. Carrano"		Dromaeosaurus		albertensis					"AMNH 5356"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	73.3	"Judith River"
51888	ETE	"M. Carrano"		Dromaeosaurus		albertensis		Alectrosaurus		sp.	"AMNH 5356"	"United States"	Alaska	Cretaceous			109.000	94.300	Nanushuk
51889	ETE	"M. Carrano"		Dromaeosaurus		albertensis					"AMNH 5356"	"United States"	Alaska	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	68	71	"Prince Creek"
51890	ETE	"M. Carrano"		Dromaeosaurus		albertensis					"AMNH 5356"	"United States"	Alaska	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Prince Creek"
