collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	collection.reference_no	country	state	period	epoch	stage	ma_max	ma_min	formation
22691	ETE	"A. Behrensmeyer"		Maiasaura		peeblesorum					"PU 22405"	5724	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
22692	ETE	"A. Behrensmeyer"		Prosaurolophus	"n. sp."	blackfeetensis					"MOR 454"	5697	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
22709	ETE	"A. Behrensmeyer"	?	Kritosaurus		sp.						5684	"United States"	Texas	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Aguja
24258	Fossilworks	"J. Alroy"	"n. gen."	Latirhinus	"n. sp."	uitstlani		Kritosaurus		sp.	"IGM 6583"	61988	Mexico	Coahuila	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Cerro del Pueblo"
24790	PaleoDB	"M. Carrano"		Anatotitan		copei		Diclonius	"n. sp."	mirabilis	"ANSP 9620"	6950	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
26760	PaleoDB	"M. Carrano"		Edmontosaurus		annectens					"USNM 2414"	7389	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
26766	ETE	"M. Carrano"		Gryposaurus		notabilis		Hadrosaurus		notabilis	"NMC 2278"	7400	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.2	84.0	"Bearpaw Shale"
26767	ETE	"M. Carrano"		Gryposaurus		sp.		Claosaurus		sp.		7400	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.2	84.0	"Bearpaw Shale"
26775	PaleoDB	"M. Carrano"	"n. gen."	Maiasaura	"n. sp."	peeblesorum					"PU 22405"	7402	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
26779	PaleoDB	"M. Carrano"		Brachylophosaurus	"n. sp."	canadensis		Brachylophosaurus	"n. sp."	goodwini	"UCMP 130139"	7405	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Judith River"
26818	PaleoDB	"W. Kiessling"		Edmontosaurus		minor					"YPM 1600"	35500	"United States"	"New Jersey"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Navesink
28606	PaleoDB	"M. Carrano"		Tyrannosauropus		sp.		Amblydactylus	cf.	gethingi		56027	Australia	Queensland	Cretaceous	"Late/Upper Cretaceous"	Cenomanian	99.700	94.300	Winton
32370	ETE	"M. Carrano"	"n. gen."	Bonapartesaurus	"n. sp."	rionegrensis					"MPCA-Pv SM2"	29110	Argentina	"Río Negro"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Allen
32370	ETE	"M. Carrano"	"n. gen."	Willinakaqe	"n. sp."	salitralensis	?	Lambeosaurinae		indet.	"MPCA-Pv SM 8"	29110	Argentina	"Río Negro"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Allen
34744	ETE	"M. Carrano"		Edmontosaurus		sp.		Hadrosauridae		indet.		9231	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
35518	PaleoDB	"M. Carrano"	"n. gen."	Kritosaurus	"n. sp."	navajovius		Diclonius		sp.	"AMNH 5799"	63664	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
36269	Fossilworks	"J. Alroy"	"n. gen."	Naashoibitosaurus	"n. sp."	ostromi		Edmontosaurus		saskatchewanensis	"NMMNH P-16106"	59350	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.4	78.2	Kirtland
36381	Fossilworks	"J. Alroy"	cf.	Orthomerus		sp.		Orthomerus		sp.		16838	Spain	Cataluña	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"La Posa"
36541	Fossilworks	"J. Alroy"		Kritosaurus		navajovius					"AMNH 5799"	9765	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland
37020	PaleoDB	"M. Carrano"		Saurolophus		angustirostris					"PIN 551-8"	9899	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
37811	ETE	"M. Carrano"	"n. gen."	Charonosaurus	"n. sp."	jiayinensis					"CUST J-V1251-57"	65750	China	Heilongjiang	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Yuliangze
37811	ETE	"M. Carrano"		Mandschurosaurus		amurensis		Trachodontidae	"n. sp."	indet.		65750	China	Heilongjiang	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Yuliangze
37811	ETE	"M. Carrano"		Saurolophus	"n. sp."	krystofovici						65750	China	Heilongjiang	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Yuliangze
38021	PaleoDB	"M. Carrano"	"n. gen."	Barsboldia	"n. sp."	sicinskii		Saurolophus		angustirostris	"ZPal MgD-I/110"	10453	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
38134	PaleoDB	"M. Carrano"	"n. gen."	Kundurosaurus	"n. sp."	nagornyi					"AENM 2/921"	43271	"Russian Federation"	Amur	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Udurchukan
38134	PaleoDB	"M. Carrano"	"n. gen."	Olorotitan	"n. sp."	arharensis		Lambeosauridae		indet.	"AEHM 2/845"	43271	"Russian Federation"	Amur	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Udurchukan
38138	ETE	"M. Carrano"	"n. gen."	Nipponosaurus	"n. sp."	sachalinensis					"UHR 6590"	10243	"Russian Federation"	Sakhalin	Cretaceous	"Late/Upper Cretaceous"		85.800	70.600	
38893	ETE	"M. Carrano"		Pararhabdodon		isonensis	aff.	Rhabdodon	"n. sp."	sp.		9758	Spain	Cataluña	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Conques
45087	PaleoDB	"M. Carrano"		Secernosaurus		koerneri		Kritosaurus	"n. sp."	sp.		13925	Argentina	"Río Negro"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Los Alamitos"
45088	PaleoDB	"M. Carrano"		Secernosaurus		koerneri		Kritosaurus		australis	"MACN-RN 02"	11733	Argentina	"Río Negro"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Los Alamitos"
45408	ETE	"M. Carrano"	cf.	Shantungosaurus		sp.						11821	China	Shanxi	Cretaceous	"Late/Upper Cretaceous"		99.700	70.600	Huiquanpu
45435	ETE	"M. Carrano"	"n. gen."	Blasisaurus	"n. sp."	canudoi		Euhadrosauria		indet.	MPZ99/667	17660	Spain	Aragón	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Arén
45438	ETE	"M. Carrano"	"n. gen."	Arenysaurus	"n. sp."	ardevoli		Hadrosauridae		indet.	"MPZ 2008/1"	17660	Spain	Aragón	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Conques
45675	ETE	"M. Carrano"		Edmontosaurus		saskatchewanensis		Thespesius	"n. sp."	sp.		12049	Canada	Saskatchewan	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Ravenscrag
45676	ETE	"M. Carrano"		Edmontosaurus		annectens		Trachodon	"n. sp."	marginatus	"NMC 419"	12051	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	
45677	ETE	"M. Carrano"		Hypacrosaurus		altispinus					"AMNH 5206"	12052	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	
45678	ETE	"M. Carrano"		Hypacrosaurus		altispinus					"AMNH 5206"	12052	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	
45679	ETE	"M. Carrano"	"n. gen."	Parrosaurus		missouriensis	"n. gen."	Neosaurus	"n. sp."	missouriensis	"USNM 16735"	17004	"United States"	Missouri	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Ripley
45860	ETE	"M. Carrano"		Saurolophus		sp.		Trachodontidae		indet.		18651	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Almond
45878	ETE	"M. Carrano"		Edmontosaurus		annectens		Anatosaurus		annectens	"USNM 2414"	9259	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
46120	ETE	"M. Carrano"		Edmontosaurus	"n. sp."	annectens		Trachodon	"n. sp."	longiceps	"YPM 616"	12304	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Laramie
46121	ETE	"M. Carrano"		Diclonius		sp.						15650	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Judith River"
46124	ETE	"M. Carrano"		Hadrosaurus	"n. sp."	paucidens					"USNM 5457"	12304	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Judith River"
46125	ETE	"M. Carrano"		Trachodon		sp.						12304	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Laramie
46128	ETE	"M. Carrano"		Edmontosaurus		annectens		Trachodontidae		indet.		12304	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
46162	ETE	"M. Carrano"	"n. gen."	Hadrosaurus	"n. sp."	foulkii	"n. gen."	Ornithotarsus	"n. sp."	immanis	"YPM 3221"	15623	"United States"	"New Jersey"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Woodbury
46209	ETE	"M. Carrano"		Edmontosaurus		annectens		Claosaurus		annectens	"USNM 2414"	12334	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
46210	ETE	"M. Carrano"		Edmontosaurus		sp.		Hadrosauridae		indet.		12319	"United States"	Colorado	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Laramie
