collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	collection.reference_no	country	state	period	epoch	stage	ma_max	ma_min	formation
51890	ETE	"M. Carrano"	"n. gen."	Ugrunaaluk	"n. sp."	kuukpikensis	aff.	Edmontosaurus		saskatchewanensis	"UAMES 12995"	12790	"United States"	Alaska	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Prince Creek"
51966	ETE	"M. Carrano"		Saurolophus		sp.						58800	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
52053	ETE	"M. Carrano"	"n. gen."	Lophorhothon	"n. sp."	atopus		Hadrosauridae		indet.	"FMNH P27383"	27620	"United States"	Alabama	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Mooreville Chalk"
52060	ETE	"M. Carrano"		Parasaurolophus		cyrtocristatus		Parasaurolophus		sp.	"FMNH P27393"	13948	"United States"	Utah	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kaiparowits
52077	ETE	"M. Carrano"		Edmontosaurus	cf.	regalis		Edmontosaurus		sp.	"NMC 2288"	13943	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"St. Mary River"
52472	ETE	"M. Carrano"	"n. gen."	Corythosaurus	"n. sp."	casuarius		Trachodontidae		indet.	"AMNH 5240"	58800	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
52475	ETE	"M. Carrano"	"n. gen."	Lambeosaurus		lambei	"n. gen."	Procheneosaurus		praeceps	"ROM 758"	13165	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
52504	ETE	"M. Carrano"		Hadrosaurus		minor					"YPM 1600"	43456	"United States"	"New Jersey"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Navesink
52695	ETE	"M. Carrano"		Edmontosaurus		sp.		Anatosaurus		sp.		14177	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.5	66.3	Lance
52905	ETE	"M. Carrano"		Edmontosaurus		sp.		Hadrosauridae		indet.		5690	"United States"	Alaska	Cretaceous	"Late/Upper Cretaceous"		89.300	66.043	"Schrader Bluff"
52943	ETE	"M. Carrano"		Tsintaosaurus		spinorhinus					"IVPP AS V725"	70705	China	Shandong	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Jingangkou
52943	ETE	"M. Carrano"	"n. gen."	Laiyangosaurus	"n. sp."	youngi					" IVPP V 23401"	70705	China	Shandong	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Jingangkou
53042	ETE	"M. Carrano"		Hypacrosaurus		stebingeri					"MOR 549"	12559	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	"Two Medicine"
53043	ETE	"M. Carrano"		Hypacrosaurus		stebingeri					"MOR 549"	12559	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	76.0	73.7	"Two Medicine"
53044	ETE	"M. Carrano"		Hypacrosaurus		stebingeri					"MOR 549"	12559	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	"Two Medicine"
53045	ETE	"M. Carrano"		Hypacrosaurus		stebingeri					"MOR 549"	12559	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	"Two Medicine"
53046	ETE	"M. Carrano"		Hypacrosaurus		stebingeri					"MOR 549"	12559	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	"Two Medicine"
53047	ETE	"M. Carrano"		Hypacrosaurus		stebingeri					"MOR 549"	12559	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	"Two Medicine"
53048	ETE	"M. Carrano"		Hypacrosaurus		stebingeri					"MOR 549"	12559	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	"Two Medicine"
53049	ETE	"M. Carrano"		Hypacrosaurus		stebingeri					"MOR 549"	12559	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	Oldman
53050	ETE	"M. Carrano"		Hypacrosaurus		stebingeri					"MOR 549"	12559	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	Oldman
53051	ETE	"M. Carrano"		Hypacrosaurus		stebingeri					"MOR 549"	12559	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	"Two Medicine"
53052	ETE	"M. Carrano"		Hypacrosaurus	"n. sp."	stebingeri					"MOR 549"	12559	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	"Two Medicine"
53057	ETE	"M. Carrano"	cf.	Maiasaura		sp.						14356	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Santonian	85.800	84.900	"Two Medicine"
53122	ETE	"M. Carrano"		Hadrosaurus	"n. sp."	cavatus					"AMNH 1390"	17161	"United States"	"New Jersey"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Navesink
53132	ETE	"M. Carrano"		Jaxartosaurus	"n. sp."	aralensis	"n. gen."	Jaxartosaurus		sp.	"PEN AN SSR I/5009"	57423	Tajikistan	Asht	Cretaceous	"Late/Upper Cretaceous"		89.300	84.900	Dabrazhin
53133	ETE	"M. Carrano"		Kazaklambia		convincens		Cheneosaurinae	"n. sp."	indet.		52267	Kazakhstan	"Ongtustik Qazaqstan"	Cretaceous	"Late/Upper Cretaceous"		89.300	84.900	Dabrazhin
53134	ETE	"M. Carrano"	"n. gen."	Aralosaurus	"n. sp."	tuberiferus		Hadrosauridae		indet.	"PIN AN SSR 2229/1"	14364	Kazakhstan	Qyzylorda	Cretaceous	"Late/Upper Cretaceous"		85.800	70.600	Bostobe
53146	ETE	"M. Carrano"		Brachylophosaurus		canadensis	cf.	Maiasaura		sp.	"NMC 8893"	14357	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Claggett
53227	ETE	"M. Carrano"		Saurolophus	"n. sp."	angustirostris					"PIN 551-8"	24890	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
53896	ETE	"M. Carrano"	?	Parasaurolophus		sp.						12626	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland
53899	ETE	"M. Carrano"	cf.	Parasaurolophus		sp.						12626	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
53980	ETE	"M. Carrano"		Kritosaurus		navajovius		Kritosaurus		navajovius	"AMNH 5799"	14580	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
53996	ETE	"M. Carrano"		Hypacrosaurus		stebingeri		Lambeosaurinae		indet.	"MOR 549"	14583	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	"Two Medicine"
54176	ETE	"M. Carrano"		Edmontosaurus		annectens		Anatosaurus		annectens	"USNM 2414"	14648	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
54178	ETE	"M. Carrano"		Edmontosaurus		annectens		Trachodon		annectens	"USNM 2414"	12385	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
55257	ETE	"M. Carrano"		Saurolophus		sp.						14738	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Nemegt
55295	ETE	"M. Carrano"		Parasaurolophus	"n. sp."	tubicen					"PMU.R 1250"	28704	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.4	78.2	Kirtland
55317	ETE	"M. Carrano"		Gryposaurus		notabilis		Kritosaurus		notabilis	"NMC 2278"	61483	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
55358	ETE	"M. Carrano"		Augustynolophus		morrisi		Hadrosaurinae		indet.		52135	"United States"	California	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Moreno
55359	ETE	"M. Carrano"		Augustynolophus		morrisi		Trachodontidae	"n. sp."	indet.		52154	"United States"	California	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Moreno
55363	ETE	"M. Carrano"		Hypacrosaurus		altispinus		Hadrosauridae		indet.	"AMNH 5206"	63399	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
55384	ETE	"M. Carrano"		Magnapaulia		laticaudus	?	Dinosauria	"n. sp."	indet.		3120	Mexico	"Baja California"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"El Gallo"
55385	ETE	"M. Carrano"		Edmontosaurus	cf.	annectens		Anatosaurus	cf.	annectens	"USNM 2414"	14880	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
55461	ETE	"M. Carrano"	"n. gen."	Tsintaosaurus	"n. sp."	spinorhinus					"IVPP AS V725"	14891	China	Shandong	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Jingangkou
55461	ETE	"M. Carrano"		Tsintaosaurus		sp.						14891	China	Shandong	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Jingangkou
55466	ETE	"M. Carrano"		Tsintaosaurus		spinorhinus					"IVPP AS V725"	14891	China	Shandong	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Jingangkou
55882	ETE	"M. Carrano"	?	Kritosaurus		sp.						15088	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland
56271	ETE	"M. Carrano"		Kritosaurus		sp.						15088	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland/Kirtland
56293	ETE	"M. Carrano"		Kritosaurus		sp.						15088	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland/Kirtland
56385	ETE	"M. Carrano"	?	Parasaurolophus		sp.						15088	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland/Kirtland
56429	ETE	"M. Carrano"	?	Kritosaurus		sp.						15088	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland/Kirtland
56646	ETE	"M. Carrano"	?	Kritosaurus		sp.						15088	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland/Kirtland
57162	ETE	"M. Carrano"	cf.	Edmontosaurus		sp.	cf.	Anatosaurus		sp.		803	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
57163	ETE	"M. Carrano"		Edmontosaurus		sp.		Anatosaurus		sp.		803	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
57166	ETE	"M. Carrano"	cf.	Edmontosaurus		sp.	cf.	Anatosaurus		sp.		803	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
57168	ETE	"M. Carrano"	cf.	Edmontosaurus		sp.	cf.	Anatosaurus		sp.		803	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
57169	ETE	"M. Carrano"	cf.	Edmontosaurus		sp.	cf.	Anatosaurus		sp.		803	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
57170	ETE	"M. Carrano"	cf.	Edmontosaurus		sp.	cf.	Anatosaurus		sp.		803	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
57171	ETE	"M. Carrano"		Hadrosaurus		foulkii		Ornithotarsus		immanis	"YPM 3221"	15474	"United States"	"New Jersey"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Woodbury
57178	ETE	"M. Carrano"	"n. gen."	Shantungosaurus	"n. sp."	giganteus					"GMV V.1780-1"	15491	China	Shandong	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Xingezhuang
57764	ETE	"M. Carrano"		Edmontosaurus		annectens		Trachodon		sp.		36149	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
57765	ETE	"M. Carrano"		Edmontosaurus		sp.		Claosaurus		sp.		58850	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
57914	ETE	"M. Carrano"		Edmontosaurus		sp.		Anatosaurus		sp.		12319	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
57915	ETE	"M. Carrano"		Hadrosaurus		sp.						40648	"United States"	"New Jersey"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Navesink
57918	ETE	"M. Carrano"		Hadrosaurus	?	minor					"YPM 1600"	14442	"United States"	"North Carolina"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Tar Heel"
57918	ETE	"M. Carrano"		Hypsibema		crassicauda					"USNM 6136, 7189"	14442	"United States"	"North Carolina"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Tar Heel"
57919	ETE	"M. Carrano"	cf.	Edmontosaurus		sp.						15577	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
58156	ETE	"M. Carrano"	"n. gen."	Pteropelyx	"n. sp."	grallipes		Diclonius		pentagonus	"AMNH 3971"	17576	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Judith River"
58157	ETE	"M. Carrano"		Cionodon	"n. sp."	stenopsis					"AMNH uncatalogued"	15647	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Frenchman
58157	ETE	"M. Carrano"	?	Hadrosaurus		sp.						15647	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Frenchman
58168	ETE	"M. Carrano"		Cionodon		sp.		Cionodon		kyzylkumensis		38131	Uzbekistan	Navoi	Cretaceous	"Late/Upper Cretaceous"	Turonian	94.300	89.300	Bissekty
58470	ETE	"M. Carrano"		Trachodon		sp.						16510	Kyrgyzstan	Osh	Cretaceous	"Late/Upper Cretaceous"	Cenomanian	99.700	94.300	Kurshab
58491	ETE	"M. Carrano"		Troodon	"n. sp."	isfarensis					"CCMGE 484/12457"	16510	Tajikistan		Cretaceous	"Late/Upper Cretaceous"	Santonian	85.800	84.900	Yalovach
58574	ETE	"M. Carrano"	"n. gen."	Secernosaurus	"n. sp."	koerneri					"FMNH PR 13423"	12425	Argentina	Chubut	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Lago Colhué Huapi"
58759	ETE	"M. Carrano"		Prosaurolophus		maximus					"AMNH 5386"	12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
58760	ETE	"M. Carrano"		Corythosaurus		sp.		Corythosaurus		casuarius		12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
58903	ETE	"M. Carrano"		Corythosaurus		casuarius		Tetragonosaurus		sp.	"AMNH 5240"	33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
58904	ETE	"M. Carrano"		Corythosaurus	"n. sp."	intermedius		Stephanosaurus	"n. sp."	intermedius	"ROM 776"	12343	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
58905	ETE	"M. Carrano"		Corythosaurus		intermedius					"ROM 776"	12343	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
58906	ETE	"M. Carrano"		Corythosaurus		intermedius					"ROM 776"	12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
58911	ETE	"M. Carrano"		Lambeosaurus		lambei		Lambeosaurus		sp.	"ROM 1218"	12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
58943	ETE	"M. Carrano"		Corythosaurus		casuarius					"AMNH 5240"	12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
58946	ETE	"M. Carrano"		Gryposaurus		notabilis		Kritosaurus		notabilis	"NMC 2278"	12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.2	84.0	"Dinosaur Park"
58947	ETE	"M. Carrano"	"n. gen."	Gryposaurus	"n. sp."	notabilis					"NMC 2278"	17546	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.2	84.0	"Dinosaur Park"
58953	ETE	"M. Carrano"		Prosaurolophus		sp.		Prosaurolophus		maximus		12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
58955	ETE	"M. Carrano"		Lambeosaurus		lambei		Lambeosaurus		sp.	"ROM 1218"	33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59007	ETE	"M. Carrano"		Corythosaurus	"n. sp."	casuarius		Tetragonosaurus	"n. sp."	cranibrevis	"NMC 8633"	12118	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59008	ETE	"M. Carrano"		Corythosaurus		intermedius		Corythosaurus		excavatus	"ROM 776"	33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59009	ETE	"M. Carrano"		Corythosaurus		intermedius					"ROM 776"	12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59012	ETE	"M. Carrano"		Gryposaurus		notabilis	?	Gryposaurus		sp.		33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59013	ETE	"M. Carrano"		Gryposaurus		notabilis		Gryposaurus		sp.		33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59017	ETE	"M. Carrano"		Corythosaurus		casuarius					"AMNH 5240"	12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59019	ETE	"M. Carrano"		Parasaurolophus		walkeri		Corythosaurus		sp.	"ROM 768"	33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59021	ETE	"M. Carrano"		Prosaurolophus		maximus		Trachodontidae		indet.	"AMNH 5386"	62883	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59022	ETE	"M. Carrano"		Lambeosaurus		lambei		Lambeosaurus		lambei	"ROM 1218"	12053	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59041	ETE	"M. Carrano"	"n. gen."	Brachylophosaurus	"n. sp."	canadensis		Gryposaurus		sp.	"NMC 8893"	33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59048	ETE	"M. Carrano"		Corythosaurus		casuarius					"AMNH 5240"	9597	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59049	ETE	"M. Carrano"		Prosaurolophus		maximus					"AMNH 5386"	15355	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59050	ETE	"M. Carrano"		Corythosaurus		casuarius					"AMNH 5240"	15355	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59051	ETE	"M. Carrano"		Prosaurolophus		maximus					"AMNH 5386"	15355	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59052	ETE	"M. Carrano"		Corythosaurus		casuarius					"AMNH 5240"	15355	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59102	ETE	"M. Carrano"		Gryposaurus		notabilis		Hadrosaurus		sp.	"NMC 2278"	15355	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.2	84.0	"Dinosaur Park"
59106	ETE	"M. Carrano"		Corythosaurus		intermedius		Corythosaurus	cf.	intermedius	"ROM 776"	15355	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59119	ETE	"M. Carrano"		Gryposaurus		notabilis		Kritosaurus		sp.		15355	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59120	ETE	"M. Carrano"		Corythosaurus		casuarius		Corythosaurus		sp.	"AMNH 5240"	15355	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59144	ETE	"M. Carrano"		Corythosaurus		casuarius		Corythosaurus		sp.	"AMNH 5240"	15355	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59145	ETE	"M. Carrano"		Lambeosaurus		lambei		Lambeosaurus		sp.	"ROM 1218"	15355	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59221	ETE	"M. Carrano"		Corythosaurus		casuarius		Hadrosaurinae		indet.	"AMNH 5240"	12116	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59225	ETE	"M. Carrano"		Lambeosaurus		clavinitialis		Lambeosaurus		sp.	"NMC 8703"	15355	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59373	ETE	"M. Carrano"		Hypacrosaurus		stebingeri					"MOR 549"	16613	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	73.9	73.7	"Two Medicine"
59383	ETE	"M. Carrano"		Hadrosaurus		sp.						38158	Kazakhstan	Qostanay	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Zhuravlevskaya
60474	ETE	"M. Carrano"		Pararhabdodon		isonensis		Hadrosauridae		indet.	"IPS-SRA 1"	55388	Spain	Cataluña	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"La Posa"
60875	ETE	"M. Carrano"		Hypacrosaurus		altispinus		Dinosauria		indet.		62881	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	
61323	ETE	"M. Carrano"		Trachodon		sp.						59274	Spain	Aragón	Cretaceous	"Early/Lower Cretaceous"	Albian	112.600	99.700	Escucha
61843	ETE	"M. Carrano"	cf.	Maiasaura		peeblesorum					"PU 22405"	15024	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
62317	ETE	"M. Carrano"		Parasaurolophus		sp.						18015	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
62489	ETE	"M. Carrano"		Kritosaurus		sp.						18036	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
62533	ETE	"M. Carrano"		Trachodon		sp.						46330	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland/Kirtland
62535	ETE	"M. Carrano"		Kritosaurus		sp.						18036	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
62539	ETE	"M. Carrano"		Trachodon	?	marginatus		Stephanosaurus	?	marginatus	"NMC 419"	18053	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
62540	ETE	"M. Carrano"	""""	Trachodon		marginatus		Trachodontidae		indet.	"NMC 419"	18053	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
62721	ETE	"M. Carrano"		Corythosaurus	"n. sp."	casuarius		Corythosaurus	"n. sp."	excavatus	"UA 13"	12046	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	
64334	ETE	"M. Carrano"		Prosaurolophus		sp.						18556	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	
64335	ETE	"M. Carrano"		Lambeosaurus		sp.		Hadrosauridae		indet.		18556	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
64338	ETE	"M. Carrano"		Hadrosaurus		sp.						18556	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
64339	ETE	"M. Carrano"		Edmontosaurus		sp.						18556	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	
64430	PaleoDB	"M. Carrano"	"n. gen."	Saurolophus	"n. sp."	osborni		Hadrosauridae		indet.	"AMNH 5220"	54104	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
64432	ETE	"M. Carrano"	"n. gen."	Hypacrosaurus	"n. sp."	altispinus					"AMNH 5206"	9647	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
64433	PaleoDB	"M. Carrano"		Hypacrosaurus		altispinus					"AMNH 5206"	9647	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	
64434	PaleoDB	"M. Carrano"		Hypacrosaurus		altispinus					"AMNH 5206"	9647	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	
64436	ETE	"M. Carrano"		Hypacrosaurus		altispinus					"AMNH 5206"	9647	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Horseshoe Canyon"
64632	ETE	"M. Carrano"	"n. gen."	Prosaurolophus	"n. sp."	maximus					"AMNH 5386"	18647	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
65335	ETE	"M. Carrano"		Saurolophus		angustirostris					"PIN 551-8"	27284	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Nemegt
67129	ETE	"M. Carrano"		Edmontosaurus		sp.		Anatosaurus		sp.		12319	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
67138	ETE	"M. Carrano"		Pararhabdodon		isonensis	"n. gen."	Pararhabdodon	"n. sp."	isonensis	"IPS-SRA 1"	10512	Spain	Cataluña	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Conques
