it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Ahshislepelta_TS	Akainacephalus_TS	Ankylosaurus_TS	Anodontosaurus_TS	Cedarpelta_TS	Chuanqilong_TS	Crichtonsaurus_TS	Dyoplosaurus_TS	Euoplocephalus_TS	Gobisaurus_TS	Heishansaurus_TS	Jinyunpelta_TS	Liaoningosaurus_TS	Minmi_TS	Nodocephalosaurus_TS	Oohkotokia_TS	Palaeoscincus_TS	Pinacosaurus_TS	Platypelta_TS	Saichania_TS	Scolosaurus_TS	Shamosaurus_TS	Shanxia_TS	Talarurus_TS	Taohelong_TS	Tarchia_TS	Tianzhenosaurus_TS	Tsagantegia_TS	Zaraapelta_TS	Zhongyuanosaurus_TS	Ziapelta_TS	Zuul_TS	Ahshislepelta_TE	Akainacephalus_TE	Ankylosaurus_TE	Anodontosaurus_TE	Cedarpelta_TE	Chuanqilong_TE	Crichtonsaurus_TE	Dyoplosaurus_TE	Euoplocephalus_TE	Gobisaurus_TE	Heishansaurus_TE	Jinyunpelta_TE	Liaoningosaurus_TE	Minmi_TE	Nodocephalosaurus_TE	Oohkotokia_TE	Palaeoscincus_TE	Pinacosaurus_TE	Platypelta_TE	Saichania_TE	Scolosaurus_TE	Shamosaurus_TE	Shanxia_TE	Talarurus_TE	Taohelong_TE	Tarchia_TE	Tianzhenosaurus_TE	Tsagantegia_TE	Zaraapelta_TE	Zhongyuanosaurus_TE	Ziapelta_TE	Zuul_TE
0	-558.2065200428898	-17.776648912313888	-333.71552925655243	-206.71434187402343	0.5437349407263237	0.5437349407263237	0.5437349407263237	0.5437349407263237	0.5437349407263237	0.5437349407263237	0.5437349407263237	0.5437349407263237	0.5437349407263237	0.5437349407263237	1.0	1	1	1	144.37642158124714	65.72215551585195	277.54657716309447	80.3355137919251	76.32434863030768	82.10621880159354	83.42630064927958	131.34153934942117	125.47879271439241	102.51760007477996	76.77163037421306	83.73351293455977	90.3985305188303	122.15422378217853	99.70427716323279	127.26629469573844	144.37642158124714	82.36987610902221	90.84556213900039	75.51995734203986	117.02709997459735	85.11285699324166	76.41203826198736	82.78284570370174	120.66693880990438	76.19947693350291	95.4256407922644	102.37456006270858	81.19972887240803	76.93661094426169	92.86861557811812	99.43081663058945	115.24708971237551	76.85968678377164	76.22955447824636	80.07639956168893	76.14847616294401	66.26310475139292	66.99214665196057	101.86958838610065	125.18908294840722	88.53056675961551	76.71320008197048	65.98588677458741	90.12682671868285	121.90934256051372	99.32525353130596	127.0834479004283	108.84973366815194	73.30538109516917	72.61965667364208	75.29005906528269	65.72215551585195	71.43264415286555	74.76739561272896	70.99423245403224	107.58140758081502	75.9208624157987	90.17681020766607	101.99896332252196	67.98766292148363	76.60544563798604	85.46622264982445	99.12414336795565	115.21583881594528	76.50009930460499	76.12554676842178
5000	-586.8163463314561	-27.948570185092063	-364.24209735217187	-194.62567879419214	0.3155633034977829	0.8270662551718704	0.34436610910380006	0.47501923483788994	0.5649606607629202	0.4967290151201259	0.4850921382047838	0.26621686157935665	0.4548763514342529	0.6049303189853076	2.961688590091676	2	2	1.7439321929364562	142.37053263698715	65.06489641559507	280.86630980947126	80.80002235417098	76.7660910096483	81.09537305335273	83.83578026142834	130.5546933004748	125.78554815322953	98.01779802595541	78.39861620185081	85.71620250591423	92.07780545372597	123.1488109775915	100.89555841725463	128.28285509118757	142.37053263698715	82.05053096516289	82.79643350939224	75.38044419934552	111.3776324559987	85.4783173923067	77.60443301580062	81.92633037953256	120.3553584877013	76.18629860992442	95.43094551290199	102.350510772993	80.41149508379445	77.05533132079469	93.94112745972109	100.60179094605257	115.2684445950499	80.16700841131627	76.7826772968281	79.70834708759858	74.99564214667953	66.01018435197369	66.84373975634118	104.96020752110546	125.28656774149391	86.95098410650057	76.51901515211351	65.06489641559507	88.0731072878434	120.39741440624974	98.933438611176	126.1972627058423	110.44933502136533	72.21425324520544	72.44467106414434	75.3069206187863	67.0832576633686	72.01566080558239	72.74272584079739	70.37129046103423	111.19859883281718	75.89597787293906	89.62367651315841	101.64505814066209	67.28978450741577	74.56753725564134	86.50297357677174	99.07358873497097	111.64092450294123	75.90224378767552	76.13520231212748
10000	-572.0412471079918	-28.693217831036296	-347.16629423524256	-196.1817350417129	1.1796839882082146	0.840788308940362	0.3063070197722386	0.26280068969095965	0.3467109238388854	0.155610860933787	0.45556282897616557	0.8373982397407624	0.582573872124942	0.8654307442908588	2.1221297240054158	2	2	3.119994713220587	135.43667962820726	65.43053196772327	265.6587433977078	80.37645096661824	76.43586368788921	79.77025620421941	83.38092081761764	128.37548703396476	125.73418972160636	96.8941128062887	77.17598623029394	83.64511558335136	90.16665194394501	123.32059194087837	99.8966643572725	128.5249438306244	135.43667962820726	82.1983810279016	83.53625556016372	80.82632627029261	111.38524475257995	85.1373194719814	78.32780629523414	83.59442854460983	123.30495376606005	76.35033622998446	98.60484679475414	102.85360863443512	80.22533727170382	77.84876305893256	93.07148713206819	99.73461377472927	116.61502703078182	77.0669718610216	77.95860362862015	80.20654956743319	76.20222593407246	65.43053196772327	67.07416403933684	105.91129364435984	123.59622977569138	89.11576778251147	76.75051962241712	66.38102292451403	89.86291098705063	120.01902360071634	99.2227937586797	126.57970557916585	109.87052828121817	72.09348830607381	72.20406034244314	74.76606267412036	67.30715286790931	70.9267725725893	73.7930993440056	70.97447331666682	109.42391659680415	75.44275013872436	90.2202367910063	101.58008259564878	68.40184551612494	76.5927929038059	87.32020690659537	98.82477696532017	114.3197505652214	75.83541891124354	75.86532768173032
15000	-549.295320567308	-24.120976852135257	-332.02819769835196	-193.1461460168207	0.9599247283191049	0.4052914164170621	0.252590375676455	0.13777534708334546	0.2304050810430581	0.12413228103191912	0.13815860794928658	0.679312254668566	0.4935959732653306	0.9750625579210872	13.80738159157038	2	1	2.1494246560279806	130.542798141732	64.54883526929152	260.7997833885147	80.79834581117754	76.86667945058117	80.09778069724179	83.31723865729141	122.07147648785985	125.96440702531784	96.87899283962548	76.79633829772821	83.61935141006768	90.14867922635094	122.17427227702203	99.71241257313952	128.5351412951803	130.542798141732	82.62371605530078	82.4700070452216	77.22177623954245	111.01529625794021	84.21408859050122	76.42824759828115	82.37003277374797	123.01156627483495	76.73446727711169	103.59047249211314	102.65492701354142	80.75086050995976	78.27589320142341	97.29455496960722	100.10285026777103	116.7798991318843	76.8730608896724	76.51700709471248	79.57594689913375	74.2370372382719	66.31510319128931	66.78777874862327	103.95857844108686	124.03564397505484	87.22477285990425	76.54488357859057	64.54883526929152	89.96605708423425	121.99323667249136	99.6766580150908	123.85335004291721	114.08432270813628	73.14295157926284	72.05769532620188	71.81524277220062	70.094521049709	70.40427876055432	74.81756251160719	69.7933474784857	109.74543952621123	75.30381169596234	89.24411474075497	102.21589769368262	66.8873086547645	75.98312672837868	86.22226513751792	99.01652436453847	113.48302749958704	76.5153304266892	76.10820381474353
20000	-550.9279258508959	-33.553394070844625	-329.96312226185887	-187.4114095181924	0.8030155842193376	0.17745049960313805	0.13616671859910168	0.23030182674174768	0.1269100092166801	0.2217908288949074	0.20538763936653112	1.1704569363198523	0.5439865872582443	0.9026557963507746	9.472361513363435	3	2	2.6299351219658	132.14004769475886	63.45317095569085	260.81196439900066	80.71825010165682	77.52052793909957	80.2832105210233	83.74006047555389	127.30644884346192	128.1886870570342	96.59105005086069	77.24310774888947	84.10163051866706	91.34518837520315	122.29214179402813	99.70313344355024	127.35406275004848	132.14004769475886	82.53209064865557	83.76869012252733	76.24907771570419	114.11493205563856	84.97049026037243	76.89537043280522	85.00302291485697	120.28073433400718	76.25565658727919	99.97971072699622	102.85921294535154	79.93830662851595	77.18725401380034	92.03727953720788	99.24003384053952	115.95267968579209	76.66008140217217	76.36328237344871	79.56102102410014	75.75471869346205	65.96995453381518	66.3368134592601	105.6180255321632	125.09550115285747	89.40023946835778	75.99425223609931	66.05815769952714	89.52062408455815	121.93736643746132	99.70263576994743	126.77778962896706	113.21373000964282	72.84254732395463	72.58186942278502	74.51496054228966	69.93252039214372	69.45434479238182	73.3003941153143	71.57847258240346	110.04079813753503	75.45256605744015	86.43088835439546	102.27401691806361	63.45317095569085	76.38593902755532	86.57753890915724	98.94748363821809	112.56828672543473	76.16450847310358	74.56235304242036
25000	-540.1669295982923	-25.175729692034274	-331.09026716078074	-183.90093274547735	1.5926552447160744	0.1980809931735017	0.1659783839839765	0.13591144331452026	0.1014812405045861	0.18115291192652944	0.42557291549676296	1.3617832606145055	0.4737717398568234	1.1912499251832223	18.678926808157513	2	1	1.8071467669661487	131.36375494234036	65.37885306923022	243.29834587750435	82.01362081116712	77.30401917909909	79.93691722680342	83.90844306888849	123.623151348399	126.91104804126357	97.45142200880045	78.5629721321475	83.85677586177798	91.16221275721298	123.01498064479036	99.70479455798181	127.21648361042887	131.36375494234036	81.88565398722476	83.85598582983157	76.86870627395403	111.11188485479202	84.95770033027128	76.61406248435891	81.88074678176704	121.89154894165348	76.47720517727447	93.9889476406855	103.21051040122518	80.04896903296259	76.78373279608819	91.9456237327487	100.54357027113785	115.30138304751365	77.92120001396543	76.55369638634845	77.9336067543614	75.47134471901268	65.37885306923022	66.73941442087462	106.09443565297545	123.2997981850959	89.51993500058344	76.71981070939155	66.02997421289919	89.59086741115554	119.6037419586005	98.71400177989577	126.91474013613204	114.17488722537271	72.63269971108011	70.86876630044914	74.43166292414374	70.23334120892228	71.61509804407257	73.18643380245634	70.70006288645499	111.39430317283572	75.86566368845052	89.7475410962827	101.56026302187362	67.50772058541104	76.6048407627284	86.69388556462167	98.90438804282891	115.2284931763842	76.0813103279911	75.13149274483166
30000	-552.2449444891768	-31.120323355811323	-330.8298535041299	-190.29476762923548	0.6876447488308031	0.17826611851190444	0.23509278519891638	0.13403691978831692	0.1512680839575975	0.21168571301818198	0.5335807798471399	3.8295297118954545	0.5424721903338405	0.9922744063901424	13.468297291284824	2	2	1.5225333446289204	131.45708861189937	65.44672576820867	256.7026356237053	80.31321049176432	77.43442505281716	81.80071632460208	83.35853847117372	122.41165319287602	125.39052758483753	96.3743387670917	78.99178889520104	83.28098136483531	90.40382863456891	126.30891406442313	99.72993909754841	127.54314132097367	131.45708861189937	82.61625520760845	83.65110581435914	76.29466098903036	111.13555297201233	84.25480266274832	76.59791945304919	82.39914656068954	122.3208734773711	76.3741541621819	95.2507744655025	103.35252527233034	80.77346570072707	77.82065854325117	94.32968786379887	102.70216320460909	115.35940658594365	79.71378719432626	76.28796467488837	80.19765787736688	75.3081242099007	66.21350861168892	66.21615732374826	105.3478947988145	125.34034189589399	89.59194856127797	72.13377369829576	65.44672576820867	89.93299714405943	120.21182760432279	99.64390578857562	127.02650708607378	112.57749723015404	72.35827284976735	73.08091763279336	75.00061482938307	70.00804815896035	72.29635403927074	74.86652422670184	70.99643204921128	107.64975743292712	75.8526432697171	89.30363087608272	101.17977558091334	68.02874172326834	76.57299104539545	86.93492385396166	96.79947513948301	114.48548400234759	72.57021117503236	76.1576955717367
35000	-560.6949294621381	-24.78625818705842	-342.5338108621181	-193.37486041296165	0.46454853154665743	0.22553824162507582	0.13867111373494598	0.17327998032874206	0.12220525374630117	0.20861776496711618	1.336202227121674	0.9877395837961424	0.48108315032085874	0.9878140764562675	6.981105005521336	2	1	0.8183833663751764	131.22453561203326	66.18314017225455	268.1065458073214	81.05648949863763	76.58501704864761	80.61718203847582	83.27937000500891	122.9176486992919	125.46357726416942	98.81493217389769	77.03574357735432	84.44277254592998	90.4490360836028	123.24550856896936	101.34622005775476	129.34467794127553	131.22453561203326	82.58206458103629	82.45199007521154	76.33117811850084	113.31035902883815	84.38832127234397	76.99163441576424	81.9015256434602	120.79108360312483	78.44042977712631	94.49767336478425	104.58815120605102	80.29796596965517	76.72027818518858	91.7341310465168	103.58690462744369	116.76979147125404	77.97246985889149	76.36424014417422	78.75180324715053	75.65154994678957	66.24529671347692	67.04829564384701	104.51154378584567	123.26263242795804	88.81497934795513	75.8010916423834	66.18314017225455	89.73334846606181	120.56160103750378	99.2618439469821	127.201890323015	111.97958307110022	72.65919002249674	72.05428212473771	73.82642726152844	70.10576699112717	72.4522340848751	74.19526384107962	71.26193097813164	103.22672046022605	75.52306495320896	90.28662196458096	99.83209378918936	68.14340142669573	76.47245209157451	85.99824864458778	92.13019809521239	114.26934394413821	74.13946136653931	75.8510558848398
40000	-542.1508021737212	-24.25976085592683	-329.99414741610707	-187.8968939016873	0.525151836521935	0.4977243945663612	0.18170988495547527	0.15131561058338108	0.1772302155957513	0.13965323117065306	0.6574099746905274	0.8717057292325202	0.657195052965725	1.5533075386428683	8.148652744478566	2	1	1.100847770348028	130.48437502378158	66.11782276705873	252.11144323994154	80.9619959933088	78.20141814499753	80.6333781130554	83.86617069013245	121.80532353528692	125.84311518573324	96.5948349459773	76.92047696150827	83.33843556016699	92.82525247258121	122.7618711459688	99.72574621126034	127.51896306647504	130.48437502378158	81.85102824357328	85.5078289395594	76.4261496553389	111.41263218430402	85.10743047246847	76.41683122896804	82.57710983686098	120.91679774036864	76.2756464124921	94.87686627366543	102.5507066522351	80.28057147698806	76.66480756647586	93.31024524100685	99.8828846480326	115.37552225566064	77.02953886931999	77.22891650034663	79.76248393914491	73.45229823484276	66.29052509751112	66.36888698792173	106.45144285268208	123.4441649176731	88.1167578667799	75.95829268739418	66.11782276705873	89.30315510435175	121.88582923407712	98.22226818071287	127.10632690932934	113.88970309275392	73.36633699864717	72.59116151304454	75.2069285617149	69.65345968403372	71.77262474811245	74.87156974044557	71.39853238401763	97.32519157336999	75.78512916457296	89.84117233930074	101.99280374107173	67.83866446249185	76.58087025060817	86.9489793526767	94.5564525886723	114.26000155059673	76.5243238454233	76.17726763692336
45000	-573.8169460204319	-31.09113955055724	-345.5071436568292	-197.21866281304546	0.882419072627688	0.12841567276704982	0.11856149630534961	0.09485870285112542	0.19748269797741655	0.11863117182781782	0.5383818782792432	0.8078966189308788	0.5639314406758124	1.5337335946901163	19.495351513681047	3	1	4.21246137115295	131.10896241994146	65.31452574355133	284.15520752301273	80.30442599873099	76.75830975557686	80.55194180166114	84.57755281557631	125.5335510720916	128.8419517108394	99.8770225908651	77.55531082146919	83.8432411668354	90.33215408731544	122.16804865128516	100.88664253497215	128.003111219158	131.10896241994146	83.10422582128263	84.80341207561548	77.2661070476866	112.63951123288831	84.3391207457086	77.03207450160855	84.53264237970585	119.87371810141558	77.76115100951637	94.34644975876749	102.96982265378621	84.30997085390234	76.92423937960332	93.707202337151	99.84287843114122	115.70051922659678	76.71888313835224	78.46322420010439	79.04091688373184	75.59852716814264	65.31452574355133	67.06536765310244	105.63488877985019	120.08610779921429	88.62835195800726	76.46615349378033	65.84640827532178	90.0150675991486	121.84061986415469	99.5035169668863	125.04456608152228	114.19174350568242	72.96387146615868	72.34023173228402	73.7985933938476	68.22009654047892	70.97325892593769	74.41823836510345	71.00758927732927	95.28400276897469	75.17447501446479	89.5069464655246	101.05877374746808	68.10438759601944	74.96521335880583	85.98917124561726	96.29535976802453	114.21771726205277	76.53928143567427	75.3882018822762
