it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertavenator_curriei_TS	Almas_ukhaa_TS	Anchiornis_huxleyi_TS	Archaeornithoides_deinosauriscus_TS	Aurornis_xui_TS	Borogovia_gracilicrus_TS	Byronosaurus_jaffei_TS	Caihong_juji_TS	Daliansaurus_liaoningensis_TS	EK_troodontid_TS	Eosinopteryx_brevipenna_TS	Geminiraptor_suarezarum_TS	Gobivenator_mongoliensis_TS	Hesperornithoides_miessleri_TS	Indet_troodontid_TS	Jianianhualong_tengi_TS	Jinfengopteryx_elegans_TS	Jinfengopteryx_novsp_TS	Koparion_douglassi_TS	Latenivenatrix_mcmasterae_TS	Liaoningvenator_curriei_TS	Linhevenator_tani_TS	Mei_long_TS	Pectinodon_bakkeri_TS	Philovenator_curriei_TS	Saurornithoides_mongoliensis_TS	Sinornithoides_youngi_TS	Sinovenator_changii_TS	Sinusonasus_magnodens_TS	Stenonychosaurus_inequalis_TS	Talos_sampsoni_TS	Tochisaurus_nemegtensis_TS	Troodon_formosus_TS	Urbacodon_itemirensis_TS	Xiaotingia_zhengi_TS	Xixiasaurus_henanensis_TS	Zanabazar_junior_TS	Albertavenator_curriei_TE	Almas_ukhaa_TE	Anchiornis_huxleyi_TE	Archaeornithoides_deinosauriscus_TE	Aurornis_xui_TE	Borogovia_gracilicrus_TE	Byronosaurus_jaffei_TE	Caihong_juji_TE	Daliansaurus_liaoningensis_TE	EK_troodontid_TE	Eosinopteryx_brevipenna_TE	Geminiraptor_suarezarum_TE	Gobivenator_mongoliensis_TE	Hesperornithoides_miessleri_TE	Indet_troodontid_TE	Jianianhualong_tengi_TE	Jinfengopteryx_elegans_TE	Jinfengopteryx_novsp_TE	Koparion_douglassi_TE	Latenivenatrix_mcmasterae_TE	Liaoningvenator_curriei_TE	Linhevenator_tani_TE	Mei_long_TE	Pectinodon_bakkeri_TE	Philovenator_curriei_TE	Saurornithoides_mongoliensis_TE	Sinornithoides_youngi_TE	Sinovenator_changii_TE	Sinusonasus_magnodens_TE	Stenonychosaurus_inequalis_TE	Talos_sampsoni_TE	Tochisaurus_nemegtensis_TE	Troodon_formosus_TE	Urbacodon_itemirensis_TE	Xiaotingia_zhengi_TE	Xixiasaurus_henanensis_TE	Zanabazar_junior_TE
0	-550.4083970692722	-20.423384565475494	-386.76288141385885	-143.22213108993776	0.2834372812297521	0.2834372812297521	0.2834372812297521	0.2834372812297521	0.2834372812297521	0.2834372812297521	0.2834372812297521	0.2834372812297521	0.2834372812297521	0.2834372812297521	0.2834372812297521	0.2834372812297521	0.2834372812297521	1.0	1	1	1	162.7132551913511	65.66628708507247	79.52565937332844	71.66143756489507	73.97231827795629	162.7132551913511	72.31951356850195	161.2155227793879	70.63930776096313	75.6404477866934	155.4144488419303	123.16753651670089	101.7380274882364	153.77901507338942	111.10451454382456	75.66669728181002	148.16138984858154	77.21391416576024	127.19180085710379	139.34735415494595	74.43647277922257	150.65297880398438	75.8687785413211	134.1559728856148	73.65935321482668	127.9722489768057	68.64451818863077	71.14816224770288	74.54472180478446	113.17270613958489	125.59545056319422	102.83393582282484	76.4366180935114	74.93475147687329	69.99981113948817	81.11814076294938	100.53940171688468	156.30215323369043	73.01146612801764	71.95692433882007	71.23225455883096	71.89805031304971	152.73769052614952	72.03460978655838	160.73175110127937	70.62139177846255	71.84380600584007	154.96253607006446	123.06939994720547	101.67693718528295	153.627741557559	110.91501625131852	73.19216272174005	148.01026888459918	72.83429431176377	120.31810873479637	139.25720684828067	72.78294696220452	150.54651705914716	75.25905311143946	133.99785604844385	73.27854091715515	118.60017506921186	65.66628708507247	71.04088626019146	69.20774937289205	112.90228281807494	122.61069576620494	102.75270046999289	75.89458321449821	74.05550766591762	69.84816135109452	67.21169338724992	95.09864889104395	156.18535088978484	72.85999713076468	69.64254913427037
5000	-473.08934080963377	-21.53058641707143	-306.6981355875731	-144.8606188049892	0.3659890346835611	0.6133395638068916	0.17227769934852966	0.36364362289112795	0.330661323723959	0.4076759833753278	0.18476644493762948	0.27952622801501487	0.7116464282299629	0.5329538511612484	0.26742467556848226	1.9764041435878257	0.4022730712700801	0.7857696901443737	1	1	1.0066982806539493	163.75425677699624	63.693863945356625	96.30075215957218	72.17049273331924	73.8244170327351	163.75425677699624	72.7585481804689	161.22890869206464	70.95884939997897	74.00519868091234	157.88253739787118	123.28091937917586	101.88342303546959	154.68141780985584	111.46496464052544	74.62492663945572	148.78535817471396	77.00146953763327	126.47976806659669	140.35689618237748	74.84469092974417	150.7009389914078	76.2717783180733	135.3929868071679	73.58529207532858	127.67986333605609	69.3367151789265	71.79060619937978	75.47583550792585	113.64509950066333	125.42752626265975	103.10943950032573	76.58393630864084	74.95765730150475	69.9509092321464	80.80118709203742	100.66317814637462	157.11270082150682	73.36236530229407	72.31569825295732	71.16965609543757	71.86867037066752	153.13750251208702	70.89748979747745	161.19738475816172	70.24477967301242	69.86015502111552	155.1513078916981	123.13435676688529	101.6800500905036	153.6470889740673	110.57764535204691	72.07074529585073	147.82216233224077	72.81601874889222	122.30765694050336	137.9052558150147	72.66190178239516	150.4946562732686	75.09148685585457	133.70631140001686	73.26494633929047	122.35107637463808	63.693863945356625	70.16420711639822	71.19170643307757	113.05539854842641	122.33486161792653	102.37510884372584	75.86485349728271	73.71992767612367	69.90001630764961	67.3525718535012	92.86830433760541	154.8579020176622	72.62507142487962	68.78790618495776
10000	-440.85153877839804	-24.77672705295495	-277.75959357197985	-138.31521815346326	0.33523629037513786	0.4386345550166298	0.2462124042813988	0.0698670529510453	0.6033490789402737	0.5687210027387744	0.157140164591505	0.2275490287661202	0.21453242875068881	0.7851837742242957	0.6107863197469093	3.694449049628342	1.4478830817772084	1.0696665480990075	1	1	1.8489021255294094	163.24198898873925	65.81805852817449	88.16334369672195	71.804104690551	74.48585556829833	163.24198898873925	72.274537534492	161.9265682926968	70.63682491173321	74.67119747923147	155.774489783824	123.14537303802695	101.73230561323375	153.8821660131813	111.0309103946244	75.64346608706684	148.36078133155365	76.92737442164082	125.07517967497742	139.8523088541119	74.6825623184227	151.90931030186078	76.1149671460908	134.32701017658064	73.81937126296295	128.32107968770745	68.74133330995761	71.22820220990671	74.90112527721396	113.2840322857956	125.54230924810133	104.18708158989611	76.45032580856058	75.06557056989847	70.40171381751537	81.1618898283881	100.39031084010942	156.2785907803225	73.06592878067022	71.45184242668573	71.22509855274866	71.84229064850777	152.5880545539203	72.19341473020246	160.80833466929943	70.61156823499385	70.40337551697525	154.1020386389542	122.66730450668994	101.15329499323828	152.91628627156376	110.9409702057091	73.69342828140022	148.11674057148792	72.88136319347407	120.88578036357649	137.85478412135134	72.63117327380543	149.5951015244111	75.30231382916973	132.6422478552762	73.53708512666967	122.26782723621335	65.81805852817449	70.47442173314393	71.16785502853243	111.80357820637157	122.59863891152807	102.49611818902852	75.90584177578565	74.03109957071764	69.76863613113248	67.11394060458692	93.36721815929461	156.1577095266945	72.93675242215528	69.12690096112357
15000	-436.30995121942516	-33.79219343196992	-269.53586866816835	-132.9818891192869	0.743891534417267	0.12011761586896914	0.1947513030064289	0.13049395493124705	0.29935895357836134	0.5671662109752628	0.06269246540276285	0.37155347004338646	0.4917884352376586	1.8121339786490391	0.17550236658402393	5.332132823225384	1.560726864859885	1.878162269924648	1	2	2.977286321709885	162.4382460829544	64.93192184276073	82.41956348503788	71.54434315876378	74.1739256181542	162.4382460829544	72.30501139913176	161.27256980839562	70.83127392471751	74.1029189189558	156.17572975008042	123.15816242694058	101.76474108008469	154.7083420844872	111.00429885087995	74.54335385078127	148.858144555683	76.87168499786841	125.21510615632607	139.41265128429976	74.50675845981671	150.86443727731418	75.83958556621612	134.22617842587385	73.54229399803175	129.24476528373893	68.93518155787004	71.22421089691159	74.98525059157194	113.43120796219735	126.08317861370638	102.9668305880012	76.51670766258337	75.10144855001826	70.02598354712089	80.92130736843265	100.63749399154472	157.33895554683482	73.51151476223107	71.16800468335961	70.71010472721801	71.5955352075988	152.94741702875982	72.2640192713093	161.04874043857316	70.61405469599195	72.13084978380233	155.3410363811622	122.88550136878273	101.39169445972911	153.49429986270698	110.69387735230842	73.17428233732622	148.0694520715098	72.30649083665095	120.86557158298218	138.98082125642105	72.13628144994955	150.60226645216196	75.29321470525038	131.80283887243834	73.54136515018702	121.69051459857322	64.93192184276073	71.00034592851206	70.5218414607186	112.2608043201512	122.28921909773688	102.7070775538554	75.63064822523638	73.90129661497832	69.91497937680882	66.98129703262639	95.60151615305551	155.76299644972326	72.95288056296623	68.99518128631871
20000	-452.4473651678931	-26.02091530341358	-284.23171350039246	-142.19473636408708	0.6666900654605352	0.03917350049677101	0.3111221161857652	0.12554293918096943	0.8346415973618543	0.44274603162103077	0.02965442326276249	0.5679434162066332	0.20049065587648707	1.9752472476399485	0.25838357275528107	3.0320816485074698	1.7842705092088615	1.8538379193314567	1	1	0.9003463947971576	162.39852785826776	65.80539872506147	92.88647606335319	71.66681943550708	73.7062272007682	162.39852785826776	72.38357510737283	161.22449696435154	72.12758522527511	74.13372569855004	155.41326669236167	123.32101219319739	102.31151127102125	153.7285439162125	111.41601838035756	74.91860062744259	148.93628142013958	76.89977383689984	125.8524951053917	139.3526106015219	74.62462161627471	150.63253794338357	76.05440408026118	134.57545797885146	73.61384279084434	128.1052691301732	68.64760514839487	71.46707372478268	74.98380158298953	113.26786164631206	126.53125162870055	103.73747155791094	77.19487454754798	75.83368375473479	70.27110881975484	80.97212229411097	104.7261198491252	156.37298312414828	73.4195843055358	71.81074229054613	70.96451972315883	71.90668974401716	151.86902649939094	72.06631517859539	161.20141206803208	70.55294028823221	71.86411326741246	155.3913633408613	117.75966577243544	101.54089064843394	153.2516583462397	110.56455058584821	73.04069712644684	147.82290009081373	72.59632991864457	122.04161003396176	139.25733653925832	72.76682663898795	150.6013266178527	75.29647937098989	132.99075012928802	73.31593944108971	120.25216914328449	65.80539872506147	70.94419982150981	70.33423926546213	113.12911472884076	122.08529952808179	102.7087508880585	75.79461869305158	74.00749665919622	69.24583631795443	67.02259718809684	95.43166845877178	156.1614834837386	72.77468338481165	69.38611562975721
25000	-431.58871606199426	-27.34358968145837	-265.92984664841254	-138.31527973212337	0.48364522570367396	0.08899027579241911	0.1646196979281049	0.19988256757135506	0.9369062150635149	0.4495365875999712	0.052270555367709366	0.35372656578763706	0.12877056585549485	1.844484225081761	0.4112703966634338	4.394921761562847	2.4823967174785095	1.2150980347483311	1	1	1.063266450559429	162.46444686679163	65.94448623388338	88.09033058230077	72.17817364595594	74.07497842454521	162.46444686679163	72.28808750121665	161.3638459362824	70.770260850533	74.36894133397305	155.44563743855258	123.52412109210124	101.71441381927073	153.8128545209528	110.99883633296156	74.87729243732814	148.4657368698276	76.97532560466024	125.34376750571055	142.14274580902017	75.8699525234633	151.03043704252138	75.88177772239658	134.6340001834262	73.5431144702677	128.15852109224238	68.69794915417256	71.09014782846414	74.60511522253948	113.28579341513668	125.64705877215829	102.942258876793	76.49868526905985	75.1443932560521	70.00210501796494	80.80271988331093	101.04238773057895	156.3835007241983	73.09766523427474	71.05635653748787	70.41405007251879	71.45940451305574	151.4743954243122	72.05031639443757	161.13492547026675	70.620546797172	72.30845055178726	154.1700524751169	122.85963034816518	101.69187534801767	153.23924542590498	110.7743399086789	73.61148193224311	148.01941676477657	72.82520809470682	121.20160441446387	139.00742140969191	69.88988468894065	148.80730700915814	75.28384124958635	133.66545566169535	73.540275002614	121.65509711470943	65.94448623388338	70.89871300483411	70.7153361530114	111.9229150057888	122.56404113683696	102.5508234188256	75.87725798492659	73.31757081628469	69.92388054722879	67.36337283158824	93.45604441993248	155.47016385019535	72.73862477080841	69.68561911772714
30000	-422.6308249352163	-26.679559895382784	-258.9762373961495	-136.97502764368403	0.6723051343636078	0.24330403302620351	0.3832479161917433	0.25204579110919734	0.5037723140232715	0.36288830599517186	0.06226560167578121	0.36887338079377446	0.22069128574460833	2.0015880520837372	0.4136428121577348	5.105164359799063	1.8677089603964825	0.8679916211898715	1	1	1.378738413284751	162.74085548357212	65.4907142261167	84.63265343628684	71.54092039888762	73.86085756402022	162.74085548357212	72.71346904155031	161.26032043261398	70.66417977314795	74.54920704689162	155.45452866724662	123.79834187147706	105.30282478977526	153.74830385840798	112.01378941384947	74.50392445463366	148.27246636542188	76.96493468216862	125.07428482974976	140.8694068340754	75.32262774457045	151.01196575379836	75.84759610008204	134.04636219452476	73.54689557897768	128.73490842067946	69.36546443280398	71.07795655063292	74.63996978759558	113.25997740030367	125.63383521773507	104.21301828011586	76.42694132484523	75.01505323505481	69.97670989175546	80.83121420495331	101.42470853968904	156.2811407063102	73.36590411561168	70.97365877170806	71.2254352850904	71.25177201460258	152.76812441615925	72.19221124720495	160.89875153550113	70.58595162431475	72.38499448933695	154.4581327481004	123.01853050720523	100.42495428458015	153.5550449718895	110.54833281730482	73.55352113705625	147.97887585410734	72.7785030959682	122.26719666573608	137.65754418770686	71.89210389971018	150.59009221299505	75.21974087789943	133.62054181937447	73.53498383827923	121.87978530655201	65.4907142261167	70.966078889489	71.18090390498607	112.01551728982251	121.90093183838108	102.77146027085496	75.86280258660413	74.04416614445317	69.93580893480602	67.18834759504246	95.24772317921189	156.25125650861364	72.95146864358907	69.6035654743044
35000	-428.0240542539744	-31.861947579132757	-263.4283075040146	-132.73379917082707	0.5905674356575057	0.3603746548784873	0.8439846660671282	0.48943253874523057	0.9627291951799101	0.4332083597163158	0.05817029070531632	0.6106392167251162	0.6173147292792361	1.6085412412364708	0.7720713754341387	4.67897107872387	1.9682856693316186	1.173788228405179	1	2	2.0094774844254193	162.6592065212278	65.80674106376071	80.43258169915359	71.62408291143747	73.97196058635834	162.6592065212278	72.28382460618762	161.2173540725478	70.6388919347916	74.06830376168847	155.41249095820578	123.66847687953498	101.71698788761253	153.77254399028027	111.05922459299967	76.82686754620637	148.35261638523792	76.9582228393327	126.2376396682483	139.3577137596566	74.58028653805856	151.61348151008696	75.91733339615949	134.5112884216347	73.58735706296314	128.51690094829604	68.97712509186157	71.7115312270914	74.78649206619161	113.36123951855342	125.6603260005631	102.95209332710476	76.51129387291563	75.19667619397293	70.48296408293089	80.90754707328887	101.7160496264192	156.41830530245045	73.14896775648448	72.21530948037213	70.65612905168483	71.38693955148968	152.5285073772582	72.02656788407307	161.2009947609158	70.60101595015063	72.36307206966627	155.3293446474214	122.60724649226928	101.68740368793536	153.71437430522005	110.91191646229602	73.7359863492366	147.78190211645673	72.81482759702779	122.15985842579528	139.1319005676545	72.58534518589462	150.4419440573845	75.20900659996828	133.9210347996211	73.33528577484944	122.23205172627632	65.80674106376071	70.91826204071239	71.13317729860222	112.9357457881933	122.15692181739932	102.3165102293172	75.87664675655212	73.87071854661383	69.60214722551895	67.10246900770282	95.54187089865465	156.23428111644225	72.55115933596204	67.75708913382243
40000	-437.37419175251006	-32.653914959392345	-265.6072346732243	-139.1130421198934	0.6699713043058187	0.353321997176519	0.28401201696587886	0.43152488430291025	1.032781970072578	0.5415663671222505	0.04539765903564088	1.0703405675899247	0.988254497965334	1.3500893050551865	0.38380074849059176	4.4794272471774415	2.0070870646575196	0.8667659462507168	1	2	0.6426072160770245	162.39064861182416	65.70863605860528	88.43282973077942	71.57168523210849	73.8468476444185	162.39064861182416	72.52029252582825	161.27362886950976	70.64068600971295	73.99518001055601	155.9561944085897	123.16638603954414	102.16016762185973	154.2914922952466	111.02236784808314	75.2328584806419	148.13914807678918	76.9427676039104	125.04780944234446	140.4267891839372	74.63961309693745	151.13034620811695	76.00564139975094	134.061271068414	73.76779232814361	127.952040106674	68.67207469177865	71.68738838740798	74.6631236234475	113.26513269543779	125.72944888004015	104.56906232199412	76.52817991551565	75.35008524180778	69.9965216477886	80.83056495691712	100.43675563867606	157.6925997963056	72.99968213299834	72.08459227288147	69.95696937916205	70.89233221708676	153.11063204523902	71.98817005289224	161.18644063258935	70.4527301048826	66.313646923404	154.96312820858606	123.13909500895834	101.57210403945213	153.0957622643566	110.8992005445457	73.61367515651024	148.03706442851723	72.88515321691065	122.17804022547057	138.95946479653793	72.44396991362163	150.02025127178146	75.30150717134168	133.92590317137925	73.49081533286866	119.24004591300519	65.70863605860528	70.20436927390207	71.19352980612848	112.6400133933314	122.41506891772241	102.60869610567156	75.86219322092583	74.03613948879598	69.78807917222336	67.20010632491503	95.66889236966175	155.02553772063916	72.99521384087744	69.24145887265979
45000	-462.6882012386204	-37.31814834125437	-283.93867510051683	-141.43137779684923	0.49358508866580664	0.5779469084643593	0.6285720955194213	0.4338873727779794	1.613391924140401	1.2104288119502737	0.02686288009553448	0.6530883232789062	0.9660345811796975	0.9384571677214636	0.8841737671158414	4.18313066579518	1.10954423426602	0.8136864373152642	2	2	1.1241899297274076	162.4742520410988	65.22000389583353	91.49652306352634	72.27840154528306	74.64591303150144	162.4742520410988	72.50469404468538	161.3507735986403	71.03816190254058	74.07066666229906	155.78235370084667	123.78924319871155	102.01647550714183	154.53890055504527	112.57032311895294	75.14329157118945	148.13695175435996	77.00073695647811	127.15486813990552	139.32120636491172	74.56382317917404	150.72452683769035	76.00028782130106	134.2270394821607	73.63657867284049	129.86549830529907	68.98959549652234	71.07932334523358	74.61255518425766	113.30232780157294	125.99219287132358	104.76320294442831	76.64743345118642	75.1246453839143	69.94594210541251	80.8250850160097	100.46377772326956	156.27052343135702	73.08483300384279	71.21888249027123	71.22990478288406	71.90414251186573	151.99911966127655	70.8576588289297	161.15081929637688	70.59074324589207	70.87855979745507	154.96279999424334	123.05128260957662	101.56142487641631	153.29349769497242	110.83255471326963	73.36833878620655	147.93200131131897	72.64206603263469	122.31559047947667	138.4960136490292	72.79159141430512	150.58823369246034	75.2865020839296	131.2752397523782	73.4799162236424	121.93609562526923	65.22000389583353	70.94096349521145	70.78545372430733	112.4944295378186	121.1027783719479	102.68291367558393	75.69439090893205	73.9377906916376	68.90702881409398	67.36907387125876	93.84226974148615	156.26685499246258	72.93340233600048	69.05731405674919
