it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Archaeornithoides_deinosauriscus_TS	Borogovia_gracilicrus_TS	Byronosaurus_TS	Byronosaurus_jaffei_TS	Jinfengopteryx_elegans_TS	Linhevenator_tani_TS	Mei_long_TS	Pectinodon_TS	Pectinodon_bakkeri_TS	Philovenator_curriei_TS	Saurornithoides_TS	Saurornithoides_mongoliensis_TS	Sinornithoides_TS	Sinornithoides_youngi_TS	Sinusonasus_magnodens_TS	Talos_sampsoni_TS	Tochisaurus_nemegtensis_TS	Troodon_TS	Troodon_formosus_TS	Troodontidae_TS	Zanabazar_junior_TS	Archaeornithoides_deinosauriscus_TE	Borogovia_gracilicrus_TE	Byronosaurus_TE	Byronosaurus_jaffei_TE	Jinfengopteryx_elegans_TE	Linhevenator_tani_TE	Mei_long_TE	Pectinodon_TE	Pectinodon_bakkeri_TE	Philovenator_curriei_TE	Saurornithoides_TE	Saurornithoides_mongoliensis_TE	Sinornithoides_TE	Sinornithoides_youngi_TE	Sinusonasus_magnodens_TE	Talos_sampsoni_TE	Tochisaurus_nemegtensis_TE	Troodon_TE	Troodon_formosus_TE	Troodontidae_TE	Zanabazar_junior_TE
0	-589.1247542072324	-19.77150089851853	-411.5769087996122	-157.77634450910165	0.41320311707161	0.41320311707161	0.41320311707161	0.41320311707161	0.41320311707161	0.41320311707161	0.41320311707161	0.41320311707161	0.41320311707161	0.41320311707161	0.41320311707161	0.41320311707161	0.41320311707161	1.0	1	1	1	156.38625251888092	55.22460321206109	205.55769996584138	79.98853031763687	74.04012917680056	79.34060487091448	77.7786499040314	127.0995674853632	78.05312270792334	137.03535864380146	102.74238814019932	70.4218615205394	82.75759595650916	70.56006957843229	86.91428003957473	123.09517329912583	101.89870269525507	125.62988508059627	78.7322192687836	77.44581688335444	82.36608760806176	83.57524646181301	156.38625251888092	71.2768407031372	79.86086246435492	73.8519495288184	79.12807017563999	71.52714961270203	127.01930905734396	77.42363859402026	136.93736978597246	55.22460321206109	66.13246242184718	82.17527439118206	66.79045053987755	71.76260816046224	122.85336296171639	101.5420395885047	125.09517916658302	78.70748408974876	76.91993702390063	65.71124257943191	65.97462575289534	65.77066855924618	71.17239522858388
5000	-579.4771484472268	-27.141451570964904	-409.5745801802492	-142.76111669601266	0.4696442638099182	1.3786406636120567	0.5209720802444139	0.35051319720068275	0.3185582876430444	0.33762720040701705	0.49782553176572736	0.5038136551113125	0.9617700817149265	1.022316609322924	0.6993099277765161	1.3053221749601933	1.3870368614128838	0.5197315146691784	1	2	1.8731311641923611	155.50371204217961	50.02402922196861	237.5083391172887	80.4684796631657	74.5554860735482	79.399731743119	80.24411944644585	128.30903549238127	78.27084738303326	137.2048620240819	103.29993484239864	74.80274935048297	82.69858260276133	71.15089019287593	85.17309764197746	123.76154289899326	102.80983313886743	129.72259893471644	78.764104483886	77.51801103200293	82.4157283983374	83.83515784915281	155.50371204217961	73.99428223462856	79.30562048328115	73.70032387128893	78.59044270815794	69.50517410962412	127.0134480634263	77.73861244613215	136.80431836855465	50.02402922196861	66.0223592245238	82.59147513588022	66.75146419315276	70.4831203887296	121.18661060706889	98.82634909441194	124.8879167104828	78.64154109943169	76.98444674258047	65.87299361856542	66.50662950674707	63.82174879639562	71.13582396134316
10000	-576.9709265094074	-22.280033655609177	-410.9552646628619	-143.73562819093632	0.2972375712426757	0.8915801957936355	0.5209593466249367	0.5339164487092123	0.41878427475185664	0.22820150312221146	0.6570693619454162	0.2001701933262544	1.2451012823700482	0.646623289379991	0.2747237043431934	1.2419872660654956	1.824856274082339	0.8128310546506712	1	1	1.9677231689478636	154.0464376813969	50.16763815167983	228.83181820946032	80.08731820397297	74.19034690716023	79.3915804276814	78.1879990475277	129.88020317143855	78.18903565986435	137.54163070527298	99.78850273902357	76.44802019917269	84.51248878143707	70.45643604758581	79.03751410619626	123.16825372541717	102.0183630423679	126.15019478918703	78.75806071572617	78.27996040439291	82.1701140608705	85.53468896068853	154.0464376813969	73.14297204447874	78.50124855107501	72.84444476313284	79.19303001183548	70.64464683083287	125.45119725244832	77.55819119880437	135.75848765279355	50.16763815167983	65.80751283202511	79.7140416054801	67.0936521993032	72.34774516079146	120.90462051224384	101.43229751184668	121.83139070369126	78.62429714784555	76.81390772800742	65.10935244843373	66.61983562889945	64.78300524303143	70.9477600771976
15000	-580.0988790204062	-21.394919853681422	-415.2760654387481	-143.42789372797665	0.6022783484369334	1.272404950953478	0.6166183448049627	0.4045707463517991	0.5620424118163142	0.23203507366738857	0.5172813714217213	0.20491136832613507	0.6134095235987898	0.21983735253825656	0.2687968817239939	0.7809842811611694	1.4827751172025594	0.7723686737584688	1	1	0.5466261041634908	154.99100749109706	53.231404857476974	230.3322982684611	80.69005577087862	74.03359694385685	79.36284250529779	78.7880522375783	127.241749513968	80.03500260387547	139.06889305527858	99.76177502249257	78.40290903693977	84.90166570182969	71.66422692708137	79.11599598234726	124.27128820037451	104.20447524852202	125.14248910887223	79.42297906638825	80.17779671320129	83.37171306202023	83.27648737448835	154.99100749109706	71.32916332582673	79.71284075977172	72.7749951084318	79.12007098071705	72.64827488411197	126.95717057259753	77.74632238805175	132.98500692501358	53.231404857476974	66.307800533236	82.17370711948372	65.94502047404387	72.06317396414974	121.03019857057986	101.16774716524893	124.76168235271379	76.61250387747214	76.2558408222297	65.68040795798173	66.09676608309185	64.80992279117504	70.84100843617513
20000	-555.5874691568711	-21.476615527476156	-394.4065839121801	-139.7042697172148	0.80725591450793	1.177839338045676	0.4058254465940797	0.6117588883175339	0.8333911105997315	0.5748915596653335	0.35165613143222324	0.2381969941363213	0.643635928459457	0.19016241951705232	0.10991863056464286	0.9192848595354021	1.449704858777125	1.1257186745064267	1	1	1.0869879779962908	155.5111235351461	57.90116880551867	214.9736489903775	80.12322512927429	75.90221573167128	79.48568015345859	79.5829498774771	127.23945290863227	77.98971164268268	137.36611742228138	100.53533272447999	71.16893850814272	85.20243138445191	71.58846039436663	81.66091236564617	123.07804874862579	102.21473628980613	125.20730142371283	80.26085102640673	78.08701043866085	84.34246657827899	85.45757915761935	155.5111235351461	71.31045273686958	79.95259697547088	73.64588114442043	79.19820490995443	72.89588420761464	126.96178196841362	77.93463864864165	135.94506760823347	57.90116880551867	65.90985418376877	82.53712884709401	66.22266302387014	68.38883422279845	122.96774191346614	101.2825711269641	125.12117240301649	78.00236690892123	76.29009152772186	65.7619588740632	66.62799835268561	63.584702734392714	71.20904080028333
25000	-573.8258770456634	-26.991371467992316	-405.8481038040673	-140.98640177360386	0.37222305020330126	0.7706532442874121	0.29526084114030693	0.6649816417929804	0.4201901943682083	0.6000338339164755	0.2523948719208146	0.24158183886495185	0.6059256451317492	0.2826837467616227	0.0876870786034822	1.2578525815138493	1.756626790216022	0.9108941495270493	1	2	1.3478891119170582	154.42030024170248	54.24483459467273	228.36963005391675	80.1879563907325	74.04366597554095	80.13540268461634	80.33785179471232	127.87729274150148	78.98027080542329	137.53990714525358	100.77321836925854	73.36976261072437	82.68422648878203	70.82211365752228	81.39171622959852	125.9230681913175	101.658448651024	125.78458181538717	79.37119646232912	77.89653548025436	82.17132799018388	84.89843801126267	154.42030024170248	71.27628749962349	79.00773343528431	72.57355753848184	77.9758820574159	71.50429765821762	124.60911000720347	77.16682840661983	134.83703348817008	54.24483459467273	64.52509631184472	82.63554289090025	64.1980592369265	71.42093702375284	121.20753381537466	99.48855082983152	125.0783413409469	77.13966547881091	77.08860633374185	65.6657958842172	66.59638301620666	65.06789815633238	71.14225167788193
30000	-552.9857779163848	-21.85002238608731	-389.7653948209152	-141.37036070938228	0.48079408430453596	0.4391121082785996	0.13365555212919147	0.38770782610227306	0.39861193170408665	0.35715454700816107	0.37938207640048727	0.148138863414808	0.5578816079578991	0.15598976866566372	0.10009388687912887	1.2902818205531266	1.6512071301933988	0.8174100975778649	1	1	0.7640502111529173	155.30430211712448	55.30592776689865	216.6191587635607	79.99280484379776	74.49799439893106	79.27920954735258	80.32873829055562	127.38391919851665	78.09703884239015	138.14701435121444	98.94259849634294	71.72823599107616	85.46260360250852	70.64184010979557	82.3018293160667	125.66205296247341	101.9175047752556	125.1936401043174	78.94229934712082	77.31817486059609	83.18500916538943	84.3378168827931	155.30430211712448	71.72078005466562	79.95340343393374	73.76325432571286	78.956790557365	69.06324918095774	125.29182778204756	77.61429083541411	136.75223585954265	55.30592776689865	65.82682877393128	82.11687064264606	67.28588948908543	71.83559097285666	121.50293003939777	101.44600646162812	124.99524479722763	78.5692999271758	76.99279651757654	64.8735027462549	66.39485440650192	64.03367726142758	71.19177671714138
35000	-563.0971618985368	-22.784533857822716	-397.68505909966785	-142.62756894104626	0.7086488725118543	0.2134416290663113	0.15360012722053937	0.26261086261808636	0.2508625333680687	0.3683209916830907	0.24721914717562063	0.3531014349896914	0.125871666147773	0.05490566180574407	0.11666201557966067	1.3150566426921713	1.8886374025257509	0.8552085555362522	1	1	1.2839068401525653	155.64382697100874	63.5320621973757	229.9494573928943	80.1897519504464	74.14492681919123	79.29934582599583	83.62814637256498	127.06749132085936	78.2246610089423	138.02708783960165	103.59366336099355	70.13260270158064	83.09056804632007	72.77311675024187	80.0130295483815	123.21040436261941	101.62185588567765	131.82506780040296	79.02963190839594	77.21467816816755	81.91698175001109	84.0104009210083	155.64382697100874	71.38787086655539	78.14668784115675	73.46713197694774	77.05731337443797	72.06548736582378	126.89222646833684	76.88778420591882	131.94589663533262	63.5320621973757	64.95900505744488	81.93528766056768	64.84068782315804	70.44100486354338	119.84085395236629	96.3311162763542	124.53762957952715	77.9183853656432	77.20601781739566	65.58513706370397	66.759472253193	64.4804176496225	71.26604735822197
40000	-565.5658348089773	-21.8173147422292	-400.9032378773771	-142.84528218937106	0.6292188243755448	0.11007245371481522	0.2045586681188224	0.23661762362772842	0.5915968714075214	0.37860503856466293	0.48627028428169944	0.7868146845312582	0.42691900176749603	0.0507180980174636	0.17523409249943975	0.9139504717851501	0.9711033188260922	1.0871171530687198	1	1	1.7172879630577418	154.75443389381923	54.43173744294656	228.04322004469952	80.2896449703331	74.13723696141224	81.07887537210674	85.1826266314151	127.3287580949437	78.16463083942855	138.9687389167878	103.72412250661449	70.1338796713038	85.62277650275912	71.96162257233165	79.4409977965431	124.86292799378306	101.89681490585356	125.33339950138172	79.74401347397325	77.22062771993225	82.4531547303059	86.92883391179201	154.75443389381923	71.27007344572883	79.15000338520294	73.83226204538573	79.2334899056964	71.02436236946052	126.71186741147078	76.70478149557243	136.06747691378513	54.43173744294656	66.25267006255102	81.92761338749877	65.44004574687219	70.26198881485666	122.82588269406571	100.65104394478061	125.07587382642666	78.68402672432954	76.94716285043759	65.95072416204891	66.31445731132305	63.79638648132943	71.17111339180907
45000	-554.2573662905558	-22.2822039501417	-391.5835915278471	-140.39157081256695	0.4040185325064235	0.35442728617284125	0.14309870679939835	0.7993814660876436	0.9333029897822085	0.5887888977998487	0.45521250745444974	0.8929451378702804	0.17823331025581987	0.12914518798394187	0.1739918300610571	1.0032907120145174	2.0192408065004033	0.5640576225905908	1	1	0.6228822015640871	156.6063943169091	62.2573157176112	216.85093487721443	80.59823295751484	74.12090155127987	79.54586230966338	77.89854568864423	127.58263296207795	77.97670563574864	137.31527869074628	106.21566202440398	71.00700665527128	83.10120757127812	78.48703258785144	81.9643641186063	123.21998278753033	102.52412925016169	125.5971031712049	78.87091123843028	77.21809930154926	84.55664293135871	84.9984338054331	156.6063943169091	71.31306485799503	79.37312858875609	73.17277157424844	79.26139316093072	70.70598157866876	125.92920429423384	77.63548970780468	136.64622364695197	62.2573157176112	66.27446340222774	82.19455178417392	67.0849530445595	71.83270559166898	122.43028688767312	100.444416230598	125.12593710686942	78.57938046854225	77.20289441394445	65.45301752251952	66.57349756885166	64.42484239730607	71.264804848304
50000	-568.7458777397135	-22.28783796668663	-404.1417680052807	-142.31627176774612	0.47344234053124507	0.34896687651989866	0.07762875368538469	1.1858552994435374	0.443425851870517	0.23610865721036564	0.5044290351134325	0.6201082775387892	0.22599963985165528	0.2044208837967328	0.1700911768582323	1.26792719062886	1.4106549974334694	0.8392800514576811	1	1	0.45935158226996237	156.1140214846258	65.62127602188525	222.2170159446232	79.99677051864863	73.97632858051945	80.5450299905467	78.02215201530325	129.23337196509968	78.97391784719895	137.46198964080943	106.0513308713713	70.76851548309861	82.90186736119516	70.28905751302013	79.86765615898219	123.71959328162278	106.2356258278169	126.7315316869309	78.75358900075317	78.00516507786271	81.9085341944581	83.872865934269	156.1140214846258	71.38933166687166	78.76652131593688	73.69326934228509	78.00913323654603	70.70353693816442	122.63749333353596	77.27895174074541	133.91717179170453	65.77489808432547	66.06914179235851	82.5722335698916	67.29080412410664	69.22404855090288	122.38828555568311	101.20344162347376	120.52140712951683	78.21575172747072	75.89948415922677	65.91650460355551	65.75392929845088	65.62127602188525	71.143946216615
55000	-567.0253821865012	-22.278183439126458	-398.81213532873556	-145.93506341863923	0.23175682611646517	0.46410149144588525	0.04417557679132558	1.2443993482468376	0.47293071113994345	0.24739776349812653	0.36333244477492754	0.3952652584513178	0.20836467068834438	0.3282876918715342	0.14669534894791444	0.9679049168595634	1.4489141291696128	0.8987184742734767	1	1	1.6722334153121683	154.40046907430386	63.62980679902429	223.2676673993641	80.0669978086906	73.92417551458591	81.31413366802171	77.84920962963155	127.86308356459531	78.0352350534886	139.00512789492882	104.62352279114327	72.82193620162333	82.78837972896164	70.58833584193962	83.30930750009757	123.47543073695982	103.5093878500159	129.33790275391172	79.09258333315687	79.28711463045255	87.70419452858624	83.65014881294343	154.40046907430386	71.32476163417289	79.95219567270628	73.71425098356386	79.24518308776896	71.33436505259021	120.87794556314388	77.73390632769788	136.0523868813946	66.22539866297154	66.13858355063861	82.6340005796144	63.62980679902429	70.41713159260159	122.61746542809365	101.40520572622549	124.28979892783994	77.87584803804617	77.02735605719555	65.68160325135457	66.69773667226704	66.05630841967549	71.09729387843312
60000	-569.0400243019242	-29.28059507729019	-406.66640605345157	-133.09302317118244	0.3418584458364389	0.5089436864756813	0.054929910603521676	1.1483473198851653	0.8181592978595118	0.18553296840043274	0.3392237251340352	0.6696554552014518	0.0547388962820731	0.08697924766704347	0.057773135473674596	1.1167763089868594	1.8200870988922384	0.9589409506412503	1	2	0.9901978313589562	153.9393982716237	64.46148305663849	221.6137991410958	80.43056907286325	74.1896233903908	80.40953915671521	82.5779891195042	127.05051468620606	77.94952771833354	137.85833534145488	99.87859526142385	73.08511583287124	83.70451542146499	73.16748535070639	84.23838133192167	124.55622636340387	103.40932764638366	125.66614733082947	78.84809556032234	77.31574462490198	82.56919969693979	83.77213858786126	153.9393982716237	72.86245482179812	78.16980812314465	71.89278234387565	78.76982525731147	72.9818096538101	124.78081587334307	77.89404413972376	134.80870334558634	68.39895757775741	66.03807261111317	82.57825949555131	64.46148305663849	66.40054039369639	121.48178404499167	100.67533328953765	124.11326038109398	78.08983630610993	77.10579772347593	66.03867139770726	66.34633141774988	65.06640386550986	69.7726051490965
65000	-563.6475863640188	-34.88307034454179	-400.135888549996	-128.628627469481	0.21360929944780957	0.5604313378588587	0.09826547273693467	0.8321452650970715	0.7862282087315955	0.22463019442992718	0.32982654488206214	0.4940502948992487	0.023502654003839902	0.09417255321516883	0.06424452053711958	1.1498958646748734	1.6512111729507863	1.601275979520623	1	3	2.132097676173967	159.75639587258706	65.44932688339618	219.44209398127566	80.65961057617974	73.9077116703579	79.28622510193311	83.81227257677237	127.50742268966111	79.24479070414003	139.81476421997192	98.70867370282487	76.07523647726916	83.64916053835593	70.4504168292507	80.9549392815244	123.29399883027249	103.64461009958212	127.65845242248751	79.14714078144834	77.3450609173294	83.51567843641169	83.4743208387913	159.75639587258706	71.34275001768472	79.91949622236395	72.9314501771606	79.24493058237049	71.77881140347287	126.34365510233187	77.75950217824276	133.64066808273253	65.44932688339618	66.18900239876125	81.57473279904349	66.35133272911992	72.51739344445896	122.9339270196478	100.3706187790797	122.5609421336157	78.53699885585078	76.93569526165501	65.96168524044985	66.04808084533909	65.52009337358398	71.23919509088346
70000	-553.5301208682746	-29.392504943104875	-394.6232205703804	-129.51439535478931	0.16011840845973	0.38299330056088254	0.1515254298871281	0.29986597638143886	0.4548983731177465	0.42417115890165974	0.37099783401292896	0.6430830870235938	0.0614581854820946	0.05574538794313087	0.08195196964904579	1.414568550963276	1.5179502397022733	1.2157918913287744	1	2	1.0290809667144325	159.6255712798145	65.28435075929241	221.71144952443612	80.00597034489103	74.11592681003684	79.37433501866354	78.00268050556987	127.61252777405458	78.36785151440138	137.90738311679573	101.22637574367236	79.47984525946298	85.65421260759915	71.5461860162451	86.14992021225856	123.17980130956377	102.59707463739198	126.51303466375883	79.12655876829089	77.86804383980918	82.13226818190981	83.21029247675432	159.6255712798145	71.42715689261179	79.77984921736797	73.7904974528654	79.25166203230509	69.85360679980889	126.87942284323087	77.61370646242877	135.74024048594214	65.63005086247475	66.01047610573323	82.32554503506198	65.28435075929241	71.16567934532449	122.94119471220894	101.3222563371505	122.95882381848182	77.95068927503776	76.49511668735758	65.70384060958843	66.08149063583197	65.41044097545117	71.22262699617595
75000	-555.7725721230336	-29.244141401800878	-397.8307216664579	-128.69770905477475	0.13556478302322103	0.18660742773571176	0.24798152338938154	0.9095262406991201	0.3603580468722272	0.5597188058678648	0.3593491757905041	0.20599521780725277	0.07134615536468676	0.08403707935527006	0.06388535789595014	1.1068286699466887	1.596133404162695	1.0424871704894512	1	2	1.4739830539639833	153.74477566099412	65.66501742649363	217.7063374630118	80.00026195491729	73.96531917985136	79.3083359730034	80.54605142492782	127.50147957145055	78.40097950730042	138.52997335250421	100.2313492340193	77.22701606682769	83.626345559469	70.46493114792922	86.95773197783322	124.66367192003536	104.7315916156536	125.57566235451507	78.99563676590577	77.65482552280328	82.53127898779333	87.28080424413352	153.74477566099412	71.2857732356549	79.88758518929137	73.57226033492154	79.03444649287387	70.34597686619121	126.95659596524945	77.06525695744908	134.48333074371234	67.96072605702935	66.12078702068605	82.52995817426067	65.66501742649363	71.47656369533703	122.77099400065669	100.35323240571381	123.5669220958201	78.15997151958709	76.40926022572583	65.90472993549801	66.04163865886365	66.1020573023729	71.11014672677693
80000	-551.3135311865901	-31.89248981007953	-393.0519072014753	-126.36913417503536	0.10494581214467438	0.11603719128804126	0.325983716329859	0.7245785904738502	0.3324219507088437	0.28226234253464744	0.20542504993541286	0.6190455120336888	0.1422321910607881	0.06641417117970697	0.10108636640629544	1.3345202389578792	1.8000865542352007	1.151439012163669	1	2	2.056220354226282	154.13845889568535	65.65141444348745	213.05679646971535	80.44039644175703	73.90203448282314	79.608473784651	78.79491954228295	127.91933731471691	78.22918161338586	137.46060839998458	98.28654532777622	70.62085169042028	86.05080733013355	73.48454421329151	85.83840196102699	123.89197315540126	102.43068619399375	126.12683118837276	78.76503317058425	79.26733027955927	82.15375692100069	88.62564083421033	154.13845889568535	71.71260453058912	79.81487265641456	73.7034070652286	79.04726772802562	72.92851061885108	126.81737199473909	77.58708683805997	136.11924499090648	66.17073859936615	65.65141444348745	82.62507944112167	66.34535644221538	67.20803193496775	122.77160192719312	99.34569822130844	123.79830004891183	78.66441009506359	76.34789422610054	65.85659721258705	66.45531053142567	66.18290763980619	71.25051814615125
