Species	Status
Batyrosaurus_rozhdestvenskyi	extinct
Baurutitan_britoi	extinct
Bauxitornis	extinct
Bauxitornis_mindszentyae	extinct
Bayannurosaurus_perfectus	extinct
Becklespinax_altispinax	extinct
Beg_tse	extinct
Beibeilong_sinensis	extinct
Beipiaosaurus	extinct
Beipiaosaurus_inexpectus	extinct
Beishanlong_grandis	extinct
Bellatoripes_fredlundi	extinct
Bellulia_rectusunguis	extinct
Berthasaura_leopoldinae	extinct
Bicentenaria_argentina	extinct
Bissektipelta_archibaldi	extinct
Bistahieversor_sealeyi	extinct
Bisticeratops_froeseorum	extinct
Blasisaurus_canudoi	extinct
Bohaiornis_guoi	extinct
Bolong_yixianensis	extinct
Boluochia_zhengi	extinct
Bonapartenykus_ultimus	extinct
Bonapartesaurus_rionegrensis	extinct
Bonatitan_reigi	extinct
Bonitasaura	extinct
Bonitasaura_salgadoi	extinct
Borealopelta_markmitchelli	extinct
Borealosaurus_wimani	extinct
Boreonykus_certekorum	extinct
Borogovia_gracilicrus	extinct
Brachylophosaurus_canadensis	extinct
Brasileosaurus_pachecoi	extinct
Brasilotitan_nemophagus	extinct
Bravasaurus_arrierosorum	extinct
Bravoceratops_polyphemus	extinct
Bressanichnus_patagonicus	extinct
Breviceratops_kozlowskii	extinct
Brevirostruavis_macrohyoideus	extinct
Brighstoneus_simmondsi	extinct
Brodavis	extinct
Brodavis_americanus	extinct
Brodavis_baileyi	extinct
Brodavis_mongoliensis	extinct
Brodavis_varneri	extinct
Brontomerus_mcintoshi	extinct
Brontopodus	extinct
Brontopodus_birdi	extinct
Brontopodus_changlingensis	extinct
Brontopodus_oncalensis	extinct
Brontopodus_pentadactylus	extinct
Bueckeburgichnus_maximus	extinct
Buitreraptor_gonzalezorum	extinct
Burianosaurus_augustai	extinct
Bustingorrytitan_shiva	extinct
Byakudansauropus	extinct
Byronosaurus	extinct
Byronosaurus_jaffei	extinct
Caenagnathasia	extinct
Caenagnathasia_martinsoni	extinct
Caenagnathus	extinct
Caenagnathus_collinsi	extinct
Caieiria_allocaudata	extinct
Cairanoolithus	extinct
Cairanoolithus_dughii	extinct
Cairanoolithus_roussetensis	extinct
Calamosaurus_foxi	extinct
Calorckosauripus_lazari	extinct
Calvarius_rapidus	extinct
Camarillasaurus_cirugedae	extinct
Camptodontornis_yangi	extinct
Canadaga_arctica	extinct
Canardia_garonnensis	extinct
Carcharodontosaurus	extinct
Carcharodontosaurus_iguidensis	extinct
Carcharodontosaurus_saharicus	extinct
Caririchnium	extinct
Caririchnium_billsarjeanti	extinct
Caririchnium_liucixini	extinct
Caririchnium_lotus	extinct
Caririchnium_magnificum	extinct
Caririchnium_yeongdongensis	extinct
Carmelopodus	extinct
Carnotaurus_sastrei	extinct
Castignovolucris_sebei	extinct
Catenoleimus	extinct
Cathartesaura_anaerobica	extinct
Cathayornis_yandica	extinct
Caudipteryx_dongi	extinct
Caudipteryx_zoui	extinct
Cedarosaurus_weiskopfae	extinct
Cedarpelta_bilbeyhallorum	extinct
Cedrorestes_crichtoni	extinct
Centrosaurus	extinct
Centrosaurus_apertus	extinct
Ceramornis_major	extinct
Cerasinops_hodgskissi	extinct
Ceratonykus_oculatus	extinct
Ceratopsipes_goldenensis	extinct
Ceratosuchops_inferodios	extinct
Cerebavis_cenomanica	extinct
Cetiosaurus	extinct
Changchengornis_hengdaoziensis	extinct
Changchunsaurus_parvus	extinct
Changmaornis_houi	extinct
Changmiania_liaoningensis	extinct
Changpeipus	extinct
Changpeipus_carbonicus	extinct
Changyuraptor_yangi	extinct
Changzuiornis_ahgmi	extinct
Chaoyangia_beishanensis	extinct
Chaoyangsaurus_youngi	extinct
Chapus_lockleyi	extinct
Charonosaurus_jiayinensis	extinct
Chasmosaurus	extinct
Chasmosaurus_belli	extinct
Chasmosaurus_russelli	extinct
Chenanisaurus_barbaricus	extinct
Chiappeavis_magnapremaxillo	extinct
Chilantaisaurus_tashuikouensis	extinct
Chilantaisaurus_zheziangensis	extinct
Chirostenotes	extinct
Chirostenotes_pergracilis	extinct
Choconsaurus_baileywillisi	extinct
Chongmingia_zhengi	extinct
Choyrodon_barsboldi	extinct
Chuanqilong_chaoyangensis	extinct
Chubutisaurus_insignis	extinct
Chucarosaurus_diripienda	extinct
Chupkaornis_keraorum	extinct
Cimolopteryx	extinct
Cimolopteryx_maxima	extinct
Cimolopteryx_rara	extinct
Citipati	extinct
Citipati_osmolskae	extinct
Citipes_elegans	extinct
Claosaurus	extinct
Claosaurus_agilis	extinct
Coahuilaceratops_magnacuerna	extinct
Coelurus	extinct
Colepiocephale_lambei	extinct
Columbosauripus	extinct
Columbosauripus_amouraensis	extinct
Columbosauripus_ungulatus	extinct
Comahuesaurus_windhauseni	extinct
Concavenator_corcovatus	extinct
Conchoraptor_gracilis	extinct
Concornis_lacustris	extinct
Confuciusornis	extinct
Confuciusornis_dui	extinct
Confuciusornis_sanctus	extinct
Continuoolithus	extinct
Continuoolithus_canadensis	extinct
Convolosaurus_marri	extinct
Coralloidoolithus	extinct
Coralloidoolithus_shizuiwanensis	extinct
Coronosaurus_brinkmani	extinct
Corpulentapus	extinct
Corpulentapus_lilasia	extinct
Corythoraptor_jacobsi	extinct
Corythosaurus	extinct
Corythosaurus_casuarius	extinct
Corythosaurus_intermedius	extinct
Craspedodon_lonzeensis	extinct
Cratoavis_cearensis	extinct
Cratonavis_zhui	extinct
Crichtonpelta_benxiensis	extinct
Crittendenceratops_krzyzanowskii	extinct
Cruralispennia_multidonta	extinct
Dacentrurus	extinct
Dahalokely_tokana	extinct
Dakotadon_lakotaensis	extinct
Dakotaraptor_steini	extinct
Dakotasaurus_browni	extinct
Dalianraptor_cuhe	extinct
Daliansaurus_liaoningensis	extinct
Dalingheornis_liweii	extinct
Dapingfangornis	extinct
Dapingfangornis_sentisorhinus	extinct
Daspletosaurus	extinct
Daspletosaurus_horneri	extinct
Daspletosaurus_torosus	extinct
Daspletosaurus_wilsoni	extinct
Datai_yingliangis	extinct
Datanglong_guangxiensis	extinct
Datonglong_tianzhenensis	extinct
Daurlong_wangi	extinct
Daxiatitan_binglingi	extinct
Deferrariischnium_mapuchensis	extinct
Deinocheirus	extinct
Deinocheirus_mirificus	extinct
Deinonychus	extinct
Deinonychus_antirrhopus	extinct
Delapparentia	extinct
Delapparentia_turolensis	extinct
Deltadromeus	extinct
Deltadromeus_agilis	extinct
Deltapodus	extinct
Deltapodus_curriei	extinct
Demandasaurus_darwini	extinct
Dgkhansaurus_maarri	extinct
Diabloceratops	extinct
Diabloceratops_eatoni	extinct
Diamantinasaurus_matildae	extinct
Dictyoolithus	extinct
Dictyoolithus_hongpoensis	extinct
Dilong	extinct
Dilong_paradoxus	extinct
Diluvicursor_pickeringi	extinct
Dinehichnus	extinct
Dineobellator_notohesperus	extinct
Dingavis_longimaxilla	extinct
Dinosauropodes_bransfordii	extinct
Dinosauropodes_magrawii	extinct
Dinosauropodes_osborni	extinct
Dinosauropodes_wilsoni	extinct
Dispersituberoolithus_exilis	extinct
Dongbeititan_dongi	extinct
Dongyangopelta_yangyanensis	extinct
Dongyangosaurus_sinensis	extinct
Dreadnoughtus_schrani	extinct
Dromaeopodus	extinct
Dromaeopodus_shandongensis	extinct
Dromaeosauriformipes_rarus	extinct
Dromaeosauripus	extinct
Dromaeosauripus_hamanensis	extinct
Dromaeosauripus_jinjuensis	extinct
Dromaeosauripus_yongjingensis	extinct
Dromaeosauroides_bornholmensis	extinct
Dromaeosaurus	extinct
Dromaeosaurus_albertensis	extinct
Dromaeosaurus_explanatus	extinct
Dromiceiomimus_brevitertius	extinct
Drusilasaura_deseadensis	extinct
Dryptosaurus	extinct
