occurrence.genus_name	status	ma_max	ma_min
Saurornitholestes	extinct	66.9	66.3
Richardoestesia	extinct	69.4	66.3
Richardoestesia	extinct	70.6	66.043
Saurornitholestes	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	66.9	66.7
Saurornitholestes	extinct	66.9	66.7
Saurornitholestes	extinct	79.2	79
Richardoestesia	extinct	79.2	79
Saurornitholestes	extinct	79.2	79
Richardoestesia	extinct	79.2	79
Dromaeosaurus	extinct	79.2	79
Richardoestesia	extinct	79.2	79
Dromaeosaurus	extinct	79.2	79
Saurornitholestes	extinct	79.2	79
Richardoestesia	extinct	79.2	79
Saurornitholestes	extinct	79.2	79
Saurornitholestes	extinct	79.2	79
Richardoestesia	extinct	79.2	79
Saurornitholestes	extinct	79.2	79
Dromaeosaurus	extinct	79.2	79
Richardoestesia	extinct	66.9	66.3
Richardoestesia	extinct	69.4	66.7
Richardoestesia	extinct	69.4	66.7
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
Saurornitholestes	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	81.1
Richardoestesia	extinct	81.3	81.1
Saurornitholestes	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Saurornitholestes	extinct	78.8	78.6
Saurornitholestes	extinct	81.3	76.2
Richardoestesia	extinct	80.1	76.2
Saurornitholestes	extinct	80.1	76.2
Dromaeosaurus	extinct	78.8	78.6
Saurornitholestes	extinct	78.8	78.6
Richardoestesia	extinct	78.8	78.6
Richardoestesia	extinct	81.3	76.2
Saurornitholestes	extinct	78.8	78.6
Richardoestesia	extinct	78.8	78.6
Richardoestesia	extinct	78.8	78.6
Saurornitholestes	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Saurornitholestes	extinct	80.1	76.2
Saurornitholestes	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	76.2
Dromaeosaurus	extinct	80.9	76.2
Saurornitholestes	extinct	80.9	76.2
Richardoestesia	extinct	80.9	76.2
Saurornitholestes	extinct	78.8	78.6
Richardoestesia	extinct	78.8	78.6
Richardoestesia	extinct	80.9	76.2
Dromaeosaurus	extinct	80.9	76.2
Saurornitholestes	extinct	80.9	76.2
Saurornitholestes	extinct	78.8	78.6
Velociraptor	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Itemirus	extinct	94.3	89.3
Saurornitholestes	extinct	81.3	76.2
Deinonychus	extinct	100.6	99.7
Saurornitholestes	extinct	79.2	79
Richardoestesia	extinct	79.2	79
