it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Almas_TS	Archaeornithoides_TS	Borogovia_TS	Bradycneme_TS	Byronosaurus_TS	Daliansaurus_TS	Euronychodon_TS	Geminiraptor_TS	Gobivenator_TS	Heptasteornis_TS	Hesperornithoides_TS	Jianianhualong_TS	Jinfengopteryx_TS	Koparion_TS	Liaoningvenator_TS	Linhevenator_TS	Mei_TS	Ornithodesmus_TS	Pectinodon_TS	Philovenator_TS	Saurornithoides_TS	Sinornithoides_TS	Sinovenator_TS	Sinusonasus_TS	Talos_TS	Tochisaurus_TS	Troodon_TS	Urbacodon_TS	Xixiasaurus_TS	Zanabazar_TS	Almas_TE	Archaeornithoides_TE	Borogovia_TE	Bradycneme_TE	Byronosaurus_TE	Daliansaurus_TE	Euronychodon_TE	Geminiraptor_TE	Gobivenator_TE	Heptasteornis_TE	Hesperornithoides_TE	Jianianhualong_TE	Jinfengopteryx_TE	Koparion_TE	Liaoningvenator_TE	Linhevenator_TE	Mei_TE	Ornithodesmus_TE	Pectinodon_TE	Philovenator_TE	Saurornithoides_TE	Sinornithoides_TE	Sinovenator_TE	Sinusonasus_TE	Talos_TE	Tochisaurus_TE	Troodon_TE	Urbacodon_TE	Xixiasaurus_TE	Zanabazar_TE
0	-711.4292926902423	-20.304412652085468	-511.3834536052894	-179.7414264328674	0.6986914052153921	0.6986914052153921	0.6986914052153921	0.6986914052153921	0.6986914052153921	0.6986914052153921	0.6986914052153921	0.6986914052153921	0.6986914052153921	0.6986914052153921	0.6986914052153921	0.6986914052153921	0.6986914052153921	1.0	1	1	1	154.03286716099586	64.23882751197246	211.64186645448672	82.37473400817582	75.13719990172758	84.11119409066882	69.0432860898259	84.03816723824418	124.80267189918473	102.79495391123632	129.38035816128811	74.6400828965472	82.36634081827688	154.03286716099586	122.8882159727218	125.9920827635553	148.72333602271485	133.1221482296431	73.10841959053768	135.16431214088993	122.95486194322149	98.8397540364345	74.79580041634733	85.65691417916385	135.9111998927067	123.71920025295724	124.36832743125599	83.89335773896939	75.55662547490482	85.8349756287062	133.15317715827592	75.49965277669446	68.9168204805932	82.16527402940787	74.93795240535216	84.07546578824196	68.94248939951318	77.90710078172803	124.18651008887014	64.23882751197246	129.07345303091643	74.4516211911587	82.03349859396911	153.9169983296626	122.82309313777823	125.82127429503426	148.4790098300563	132.67862065246248	73.00955098111628	118.37283927369174	122.68765010096106	65.34687835020546	74.10192048889992	65.7406857799705	109.02533169672812	122.80145449904329	124.2768823145729	83.80158431373374	75.52265459217492	65.91746060025739	88.68446985071658	75.37299664867125	68.78562329511142
5000	-692.1004947344259	-35.28932051004355	-487.35748519795186	-169.45368902643042	0.8202319991342948	0.40582863070767045	0.8175449988351939	1.0937485879521158	0.7684923710419924	0.6052435979424131	0.7363434620483243	0.4260341620974568	0.7377117350985053	0.4221476821039264	1.0004151339996492	1.703886455733596	2.393264804007459	0.3565221630103031	2	2	2.93282044484891	154.02141232358906	63.85944339596888	223.37605831724858	82.8192784301317	74.97328854729454	84.92476407687391	69.20534138506204	86.9216823574349	124.58942435787043	102.01961702022646	129.5626046588287	74.66295621286545	82.15570367096228	154.02141232358906	123.51441131693154	126.09163050591101	148.64745844569612	133.26640068254238	74.40577426060513	134.89896007188648	122.94002351076064	99.56210250357132	74.91188419731215	85.98082784056881	134.11881892791533	124.79052585415502	124.49579046917977	84.21871676151382	76.97028844942412	86.77669595012145	134.71383174399975	76.49420614520665	69.13138041068204	81.66603865870465	74.95450808658507	83.75026800076728	68.40888284941728	75.57554598397813	124.31005511040193	63.85944339596888	128.7562429891849	74.25420247556032	81.69444632767444	153.97981295246575	122.80891811433852	125.58681808521885	148.4504686575444	132.51284566507672	72.67553579110869	122.27227912818385	121.94407400364057	66.88425967734429	74.53290949511367	66.13252154504892	107.81380995013697	121.26884286492829	124.22484509150904	83.30417726040913	75.31238818000483	65.99158078553882	94.95861445515935	72.33346291962353	68.19194427123735
10000	-680.727875644523	-36.87083437144135	-478.4279112059093	-165.42913006717237	0.39887495516085925	0.25358007620313683	0.3483955274220439	0.8837232665209361	0.4603644117546226	0.6958262336649063	1.113575480803892	0.5070849356414899	0.3084405185629758	0.4283877964633946	1.7145229374731252	1.5302421728931164	1.7307196772954625	0.40758468631960143	2	2	3.8939286146561667	154.15255575186475	65.5245092022056	211.04677980217343	82.83486851483615	75.02316448057702	84.25424732986679	68.97486674058655	84.34325140131742	124.88511575995341	99.42763124983253	130.63746066175042	74.86813372777186	82.16986294776926	154.15255575186475	123.80545615347533	128.68941662657437	148.8830276353306	134.23034222043566	73.25425173037601	135.0781510750681	123.00371714671141	102.13212304928479	75.2584149795287	86.46230824891676	134.56203922882278	123.36517929611537	124.68123480455799	84.12829774033493	75.5910254979627	85.80696942952939	135.17361421036082	75.43482212321113	68.88857671156872	81.49602409337739	74.88701600153274	83.97536190426973	68.90039085179885	78.02212108546314	124.40603029143725	66.43319392778166	129.28220495777632	74.16846230548829	81.93167150785936	153.87816881508027	121.5731110013775	125.85026597257226	148.1720653311753	132.8087678597292	72.59260040613692	123.76987590421056	122.72308535853358	65.5245092022056	71.51048834138197	66.04078041950335	109.3994865395149	121.61210716181371	124.064258309775	83.71649049098777	75.44989068052212	65.70971376211017	96.88590360984792	75.35271056054948	68.81659001830599
15000	-655.7682090649106	-42.76370078452611	-464.57056719418006	-148.4339410862044	0.34686098140628413	0.11881335601571755	0.17255949833288067	0.6928812569940052	1.1310427778393068	0.7302127603006092	1.0194099378808155	1.1791136061487393	0.148612091456792	0.7175577713727546	1.4647950914173902	1.6151936716182702	2.1026284172433956	0.3650749685624709	2	2	2.501449291965532	154.01188212719254	65.92362619737739	209.65172051730553	82.46632013666763	75.01379530122301	84.43101354589274	69.13675916520907	84.29666319361652	124.66224176264967	98.2915495528091	130.2070012068318	74.54404074802781	82.14815124399017	154.01188212719254	122.94254588380315	125.99723693056619	148.63991779461116	134.53358649747364	73.8059267190905	134.72388476532106	124.42849108632173	105.83466176771982	74.85054646097164	86.51568184756658	134.511111696843	123.25787337326919	124.35828107313586	83.83832587769862	76.69385613480985	85.88638942518897	134.8383795988578	75.47717067117574	68.93526994272423	82.30501863084145	74.65226894802055	83.99759933595008	68.2099230505243	78.24091548366286	123.87053217321305	66.40116316003048	128.73878800796055	73.96273313218943	81.99891391973755	154.00223250879156	122.44668822200461	125.96743634413853	148.4946651549074	131.7207791295498	72.70550198017973	123.52595613143272	122.53006170896117	66.36850634835942	74.7017865663073	66.38995261878733	108.71107841500901	122.38959437516884	122.12458634808684	83.82712057962273	75.35694483668829	65.92362619737739	96.45207003688644	74.92233246258021	68.68805920698361
20000	-709.8385370536075	-36.274994457604876	-504.5682407568948	-168.99530183910787	0.4701793365004474	0.15665105807530164	0.12377530001175259	1.2935298330039717	1.017602544420022	0.568572956708297	1.721460894190813	1.1137174695125562	0.06876550566782802	0.8693957647978827	1.4835950666785167	1.4392363567790385	2.015708960634891	0.40409569301472376	2	2	2.777317894809331	154.10672042020843	64.91051359870548	229.9119529228663	82.88482682053053	76.73337428538434	86.23570883590196	69.0118501278765	85.2414121126601	125.3606270897901	99.34628763159967	129.62069486422945	75.46819964364813	82.43450424454176	154.10672042020843	125.96133151247014	126.16638819456858	148.83171788659155	134.92035582318016	74.28919317939699	134.22512489672957	123.29945290066728	102.99687534629564	75.04326426781196	86.26182792601006	134.77727365771557	123.69401173549265	124.5902741801413	84.29683275257264	75.55255420587659	85.8922852519477	134.69609702160088	75.46693851323747	69.64608580809298	82.11391710464015	73.64476790626254	83.6738068439621	68.24270137119531	78.32203951261789	124.46548715363483	64.91051359870548	129.15302899419333	73.83476574472344	82.14360347458955	153.92537102108147	122.21639900053745	124.4712505393961	148.0813342419681	130.86751198483833	72.27797732954872	120.48939350167012	122.22669110465856	66.87592539322927	74.53091140239894	66.72423897589944	108.42180313374183	121.4270469657582	123.96394026535332	83.65567956205636	75.43258479899409	65.73917647960575	92.45610926131138	75.33831574379516	67.51384580353715
25000	-700.9026335936693	-40.28786305083886	-488.3879815154889	-172.22678902734157	0.7470281586176789	0.16640974869970926	0.23036795223436535	0.477206354113155	1.0459554080856315	1.1016302667389803	0.6208166627332055	1.3657728287053588	0.08692408113563971	1.2006603445559652	1.0814868953437886	1.351559364335689	2.222305881376585	0.3010804505746859	2	3	2.212268600315526	155.10811789489	63.89651778887483	217.501861510734	82.67109295075281	75.22483138149317	85.20549368922043	69.18907605376874	83.57628475468438	125.21664719469535	94.44071889496146	129.6863357731683	74.84725105971947	82.61904390690098	155.10811789489	123.16225846864198	125.98096525398816	148.80242726822598	132.87925933019594	74.49854642658707	135.4131060463563	123.09050673490731	106.91129966655011	74.80389389688497	88.96985835845237	131.45303995581403	124.15908444553808	126.25734626255105	84.30644555681194	75.79473628359789	86.17678481792198	134.30176421176358	75.60088631437569	68.84906379440271	81.78334769675239	73.95424166683418	83.57735497004586	68.70162668042813	75.73068461321348	124.24125917043553	66.7845778565147	129.1363176483774	73.83332146092093	82.08602358370761	153.11348497439485	122.7394168246387	125.7405513390565	148.16125362524747	132.78322651074578	71.9904701285588	123.2328705380612	122.02434139017862	63.89651778887483	74.5095552855851	66.45320322887399	109.34659682021616	121.74212808161954	123.88534723483367	83.68516662795837	74.96279433919645	65.82831729690133	93.7140819838287	75.23763745957487	68.81858831151311
30000	-692.782145845851	-37.198041342997286	-491.2731456648029	-164.31095883805085	1.0388372414560831	0.07556701756227635	0.21502891563816667	0.45739486348967573	1.5619979130812705	0.7561632385816766	0.39467283727127495	0.9213176569318013	0.11590391246939079	0.7661185121100769	1.4250480548696896	1.6770143966561428	2.0969881888448305	0.334662140377308	2	2	2.0387796992098313	154.05759309633666	65.44346821638194	224.74139824498957	82.42507687863775	75.7523669831652	85.57345632532109	69.02504568987979	84.97927979158337	124.79187032844179	94.89736104061606	134.0377838137773	75.18879836735717	82.52391737152115	154.05759309633666	124.01139291714583	126.663759958504	148.54311748109274	134.81850529843425	73.56986806913302	134.20870389630164	122.85731705753017	104.51000721363091	74.86672908626666	93.18093745660876	126.58944347415414	123.39828518140901	125.77559874819318	84.11648183308931	75.62002403760755	85.90663386655658	132.80139617521243	76.2925842100045	69.17181348333872	81.29329347116473	74.30972324419838	83.27482292762156	68.83458665017972	71.4070985559267	124.1779213264597	65.44346821638194	128.94318479677025	74.41330178775092	81.94167267542271	153.9140316536405	122.3742151315521	124.10356826624275	148.5158404964785	132.02388911389144	72.52897427555492	120.19018867320057	122.71291752842245	66.1904694204865	72.55402386825057	66.40093050858067	108.86137094947885	122.62128799123883	124.28772334747933	81.9653549142374	75.52166761367467	65.85929044539883	96.70179977665966	75.2491344706832	68.79799878883286
35000	-694.058339660912	-36.25417951658728	-490.777746574388	-167.02641356993666	0.9118958961505296	0.1295906039488485	0.34700767730282556	0.5509562362873518	0.7462146953317922	1.0072641396760955	0.5819865107958597	0.9005243482056962	0.11603206443830025	1.073684091217958	1.6255432003288859	1.3808596476074673	2.038657417315483	0.32025035059162144	2	2	3.232314011975018	154.23772769026408	63.17101134924253	217.87651272402258	82.73928118844472	75.0515132921393	84.34858521490956	69.67859357245203	85.00260746489025	124.61016097272785	93.92318272317806	134.95078923009837	74.65639368984328	82.47208945802257	154.23772769026408	123.09688907516971	126.72716911112668	148.65193625713565	134.13424707834494	73.37319000248061	134.83460491172775	123.10309203125806	103.39658663804472	75.61626015043333	89.36844124289215	125.55872529114946	125.49851338513258	124.77357579188104	84.10774251044634	75.80598680575032	85.84455150728652	133.90279918524803	79.22490595329232	68.95254431581327	82.21601183998182	74.79714602817832	83.77881393029244	68.92098741208318	77.18071936432955	124.538910578997	66.38181975447891	129.13738005277096	74.48996596609129	81.02682480206067	153.9109047567491	122.86044953439912	125.73053221757966	148.4954794528476	131.0077792478317	71.14708441962736	122.10410215292993	122.74946341024702	63.17101134924253	74.72924546530638	66.7043343888123	109.22298263342962	122.662027805128	123.77386020999897	83.27073081951218	74.85131859527374	65.94546001363909	91.88243424574317	74.33611475707607	68.74227781292325
40000	-666.9514980293134	-30.633004189528044	-471.96558079084934	-164.352913048936	0.9049399611410072	0.09061233402762377	0.49965615561779875	0.5438798011252075	1.6193315530310644	0.4927852691870287	1.1664989687991603	1.2893797285499329	0.2622232945438978	0.6529509621084982	0.8854880641208778	1.844721765297572	2.1936466485471753	0.4134199338641891	2	1	1.5062733226003888	154.01737246784216	65.60554057742405	198.66258566529103	82.61704585172295	75.07673254409505	84.27020437535607	69.45196358485747	83.77873060628578	124.7351680624379	98.38930673264018	135.28750675400002	74.6087389417605	82.2606494673389	154.01737246784216	123.00240440143189	126.31304466839845	148.72175127702187	132.96495704421866	73.14468524709568	134.6485103892827	123.25984881715607	99.14440180819027	75.16156551446144	86.14664396921869	122.57670892522451	124.93280741681599	124.3982193275137	84.34046483626517	75.55323077643293	85.84563625070409	134.78661992518383	75.80586892350875	68.84462753563653	82.0665364473876	74.80016565796534	83.14426017668336	68.7610396001397	77.36168404853899	123.90963567229348	65.60554057742405	128.8961900178414	74.42898587475398	82.05249961420729	154.00134159393045	122.75224709861037	125.33137415809367	148.16161621644358	132.21012070005224	72.66266838480048	119.89505296189846	122.78104722177868	66.90814764848521	74.72321060788038	66.14261203270856	109.46836329686438	122.66089665582955	124.08669467969428	83.50492013557222	74.64942910136007	65.71278887443641	94.60915228575763	75.32754466767501	68.80706476770031
45000	-669.971960904636	-31.949158396238683	-475.76691102898997	-162.2558914794074	2.0510435420882334	0.1919523829666712	0.37520659824629	0.35921425213581415	1.0106972335811406	0.6915615476444027	0.9161676551872583	1.6680233252585341	0.5503205987679901	0.36698487809565133	1.0781814197000565	1.640413098312174	2.49525585565318	0.3732039071142716	2	1	2.183450373798951	154.01535806428268	65.53068834021101	196.75942646976682	82.33085430110906	74.99875723387426	86.79105974412569	69.55958435065877	85.84496230184328	124.75809509983269	96.18650561274266	129.69509932303708	74.56158210648312	82.27551743973035	154.01535806428268	124.30312004578755	126.47329759168552	148.59624415286478	134.23986297218605	73.89891157885167	134.4951622577054	124.10155331408012	99.10386955392906	75.394409714161	84.62148565648356	122.2208503858274	125.23320713627253	124.33619146841343	84.17193723646662	76.13911321893792	85.80047597217161	134.33484410568425	75.86504445687005	68.93292003265928	82.32169246944447	74.67205799808599	83.90494026581672	68.9216987806254	76.20792399230153	124.02182555202137	66.01210873716421	128.53508080102932	74.29722160626208	81.2796179902404	153.9954333236908	122.43157983007673	125.74276220408896	148.45383749748737	132.54148173751133	72.3455642973588	123.95885541344326	122.48381859279249	66.3473693206637	74.1924926064753	65.53068834021101	107.6053894638785	122.28445709196912	124.2620342117558	83.57105038881163	74.67471961794088	65.87695211344175	96.0100553900307	75.25463297428621	68.78310735008475
