it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurus_TS	Alioramus_TS	Daspletosaurus_TS	Gorgosaurus_TS	Lythronax_TS	Nanotyrannus_TS	Nanuqsaurus_TS	Ornithomimus_TS	Tarbosaurus_TS	Teratophoneus_TS	Tyrannosauripus_TS	Tyrannosaurus_TS	Yezosaurus_TS	Zhuchengtyrannus_TS	Albertosaurus_TE	Alioramus_TE	Daspletosaurus_TE	Gorgosaurus_TE	Lythronax_TE	Nanotyrannus_TE	Nanuqsaurus_TE	Ornithomimus_TE	Tarbosaurus_TE	Teratophoneus_TE	Tyrannosauripus_TE	Tyrannosaurus_TE	Yezosaurus_TE	Zhuchengtyrannus_TE
0	-779.3113461849072	-12.988334013778722	-668.6083577016666	-97.71465446946183	0.41108947354663344	0.41108947354663344	0.41108947354663344	1.0	1	1	1	85.38082351717398	65.16448574853723	99.08642082253856	84.55033072455993	70.55739307520787	83.85890232285182	83.0490487674051	80.47513557393323	69.42687617318018	69.177540634167	82.0932769015229	82.44754445405941	76.24389462475014	67.19250869227241	82.26053775391888	85.38082351717398	71.1669462314682	66.51175129037402	67.24153265087689	65.63749088684438	65.50427290629199	80.25044823599013	65.80953030197026	68.76207287807365	81.85375441708486	65.16448574853723	73.10812475259175	67.08127045638997	65.97436499140711	85.06062622858342	70.83461287891683
5000	-672.9041060808645	-21.531770745464485	-580.6792386031236	-70.69309673227633	0.6351953848020763	0.6434436524843146	1.319974430401927	0.4974491242767222	2	2	1.4234276604797005	85.82140083523684	65.18344321990246	110.8293524635553	84.96882491558647	74.24560495700852	85.18247562158408	82.7077693336586	82.75602312502862	69.99909142524444	69.43416236895986	82.80477496560168	82.67665429758088	76.32539821013633	67.54018921471699	82.85006314411174	85.82140083523684	70.96089495581153	67.08050457904866	66.24380186059575	65.18344321990246	66.13013936772387	80.21659430949035	65.53367610671867	68.20442477835053	81.73361691082641	66.20973265949577	72.52627225798948	66.98294270669966	65.70380758166714	84.86948254553081	70.82553602267173
10000	-653.6437743339574	-24.63746540240519	-560.9504253790448	-68.05588355250745	1.0080766571897426	0.7607756015560999	2.6198590414712535	0.4634980392251716	2	2	1.6075424298958938	85.92730849697121	65.98466844414187	112.11056495512952	85.92730849697121	77.97736568684813	84.93043040462156	82.563934455626	82.4264879468832	72.95955579053215	69.15467756284511	82.31982103656381	82.34999338645659	75.7835818417589	67.14131815850631	82.81942715007993	85.35760013446887	70.93702429712586	66.35615663583468	66.36717821882874	66.53395369197985	66.28774798450871	80.1076401920633	66.3503991584138	68.91917316222066	82.02081138624942	66.10951136225378	72.6417781799416	66.85084851451471	65.98466844414187	85.22791753370394	70.78017692950304
15000	-655.1456514008275	-24.175968657425777	-572.0513069400538	-58.918375803348	1.335263582607024	0.8537582908896668	1.9973352535981295	0.5154626553789795	2	2	0.9401624751687702	85.23727002623097	65.67186734311063	116.1899037052925	84.67229962769441	78.99012255054392	83.8426217914999	83.16469698160603	80.42828139223286	70.59471096137278	69.08603353788752	82.47714940021574	82.45277552411424	78.44124610211698	67.60226279482711	82.1058725166384	85.23727002623097	71.30821999249258	66.6482142583941	66.25425222861233	66.20570112066558	66.56971419796574	76.93939155407625	66.3250938899788	68.91577228319512	80.99873928812126	65.92189671131099	72.5727083888256	65.87014359052672	65.67186734311063	84.86834489622406	70.45181974317374
20000	-643.4996670473128	-27.495026031383098	-555.7471047399296	-60.25753627600011	1.7332352871058605	0.8279334882454222	2.098272760602283	0.4287316299634293	3	2	1.3731716137401788	85.29273788511716	66.0100259691098	109.56567117171069	84.69804821149519	81.64510993630988	83.80623278626955	82.97582625293926	80.92980815734684	69.62376467712782	69.24651888125828	82.20219670849622	82.29747199049831	75.82266891434894	67.17651887573723	82.15617285633226	85.29273788511716	71.28076442621524	66.29242194266268	66.20958169699388	66.22688587990467	66.08295688888484	80.15614364796755	66.40751084046771	68.62865914516442	82.05728879307601	66.0100259691098	72.70210074440125	67.11036218791095	66.05805802278776	85.15080695916517	70.49536666928479
25000	-645.2005096313324	-28.76871211019057	-554.9996188267664	-61.43217869437535	6.021559284697231	0.6192937348099592	2.211126837162158	0.32395144961945077	2	2	1.1116680019444405	85.30385190330111	66.01003622285339	105.94823622165987	84.87242614183391	78.12869890295629	84.0455992752486	82.80178374523146	80.59219232978181	70.1684679759024	69.0771926843932	82.1749977382258	83.00166049694467	76.82100430472154	67.17504984772746	83.03291053691106	85.30385190330111	70.84886379532892	66.56303691378632	66.70643925222916	66.36046153786602	66.52086901432307	80.15883226319295	66.39191230928846	68.97494466563514	81.79823598168998	66.09017781771561	73.96864648049136	66.6176386257382	66.01003622285339	85.10037661968595	70.83485575235278
30000	-643.9987435782108	-29.08825846651161	-561.1917483931674	-53.71873671853177	3.881459335878548	1.1521473877961315	3.340263045661498	0.8272396384571646	2	2	2.541518483779444	85.30585007036086	66.0711933097822	114.33357630983687	84.63669018730643	82.85997085046363	83.97822655026451	83.18272438117899	80.58836897472084	69.81141721026934	69.47510439190685	82.84881852752999	83.38106407482773	75.93731628980416	67.20345390661751	82.80967510674154	85.30585007036086	70.89673541784622	66.50039479869093	66.25909689544477	66.09956803382667	66.15656823918641	79.7461942490082	66.23671097312926	68.14217256821887	81.88979347792652	66.0866605707019	73.5454683316458	66.74583845245884	66.0711933097822	84.81783232175901	70.28434740822233
35000	-642.2151572747557	-29.133721942116416	-562.0852593189379	-50.996176013701415	3.373502964813954	0.8700036508916829	2.592929363444245	1.0637745247484724	2	2	2.514732414197044	85.33748385673232	66.0462486185344	116.47877007087772	84.57377798121894	83.27826468757472	83.97662258623333	82.49391598214474	81.19439480548708	70.43951120479043	69.49939366108609	82.91636998145344	82.31983804488898	79.4571520270998	67.16796999075947	82.36991052697068	85.33748385673232	70.93212808192777	66.28370038968477	66.0462486185344	66.29253439684895	66.26609533422274	80.15262522715892	66.14524961437237	68.76097977007363	82.02170691448671	66.06668797009365	73.77301630390063	66.24310431285896	66.0652348486733	85.14384709701949	70.21693254956155
40000	-639.5292093228874	-24.29950128535534	-550.6526705448844	-64.57703749264772	1.520032111071988	0.8441670385613906	3.098464751146074	1.4239667621915284	2	2	1.9462772677291058	85.9595828272237	66.04837313227485	110.14840297288595	84.55721164822842	82.13199368968209	84.1358408846444	83.61048706809822	80.90955483487588	69.21610074668271	69.02140789399738	82.44146241539184	82.99965639645342	75.94187997439572	67.20859859773351	83.37994652904975	85.9595828272237	70.92028116128499	67.09118599840734	68.05114685201544	66.37542624245692	66.40465391275032	80.35595885498732	66.28909728404611	69.00647144716623	81.13862058336169	66.15162172146773	72.30246881010653	67.06411309938869	66.04837313227485	85.17263739041984	70.83382636600706
45000	-641.824923656405	-25.2806060202182	-561.9164472425625	-54.62787039362422	0.9027474258487195	1.1392312811740233	3.87570327975276	0.8293388839961421	2	2	1.0395739272711442	85.25231357434748	65.69690746248317	114.76739090648367	84.80303121225863	82.70272939255369	84.18576134202019	82.65401631278924	82.84255024513085	69.8421539390567	69.37058055972824	82.4517467002589	82.58396434229229	75.91768463584397	67.30674710266645	82.3409633764133	85.25231357434748	71.46874756325697	66.20465736703098	66.38234418068883	66.05302400522106	66.53875888067995	79.92561087113131	65.69690746248317	68.65544447873198	82.04685761199836	65.91145644825409	72.99511823215839	66.63931190953654	66.01698523101973	85.23579451383573	70.6533281993631
